q1,q2,q3,q4,q5,q6,d_nom,d_est,d_encoder
1.069,0.232,1.007,2.060,0.757,0.398,0.546,-1.000,0.000
-0.169,0.842,-1.938,2.076,1.586,-3.105,0.632,-1.000,0.000
-0.438,0.899,-1.375,1.607,-2.388,-3.098,0.822,-1.000,0.000
-0.301,0.157,1.487,-1.029,-0.510,2.946,0.629,-1.000,0.000
1.144,1.304,2.408,2.394,1.120,1.024,0.356,-1.000,0.000
-0.799,0.876,2.525,2.029,1.739,-0.072,0.501,-1.000,0.000
0.343,-0.923,2.086,2.919,-0.002,-2.863,0.651,-1.000,0.000
-0.322,1.093,-0.026,-2.562,-2.611,2.604,0.466,-1.000,0.000
1.883,-0.414,-0.583,2.535,2.543,-0.986,0.705,-1.000,0.000
1.715,-0.250,-1.551,-2.066,1.965,-2.214,0.599,-1.000,0.000
1.821,1.042,2.749,2.329,-2.633,0.357,0.472,-1.000,0.000
2.115,-1.089,1.685,-2.974,0.237,-1.534,0.489,-1.000,0.000
1.291,-0.669,1.352,-2.149,-0.005,-2.749,0.748,-1.000,0.000
0.451,0.896,-0.343,1.928,1.181,1.414,0.522,-1.000,0.000
1.560,-1.199,1.895,-0.096,-1.565,-1.319,0.795,-1.000,0.000
2.018,-1.136,0.743,-2.867,-1.738,1.666,0.591,-1.000,0.000
1.527,0.968,-1.110,0.260,-0.904,0.171,0.949,-1.000,0.000
0.280,0.637,-0.949,2.618,-2.475,-0.946,0.726,-1.000,0.000
1.372,1.390,-1.854,0.180,1.362,-1.232,0.718,-1.000,0.000
1.811,0.224,-0.619,2.095,-0.169,0.244,0.895,-1.000,0.000
1.971,-0.377,1.293,1.867,-2.884,-2.149,0.821,-1.000,0.000
-1.014,0.734,-0.224,-1.929,2.656,1.389,0.838,-1.000,0.000
-1.498,-0.980,2.558,-0.715,2.896,2.273,0.621,-1.000,0.000
0.468,0.426,-2.323,-0.491,0.435,-2.556,0.699,-1.000,0.000
0.357,1.287,-2.365,-1.197,0.724,-0.501,0.559,-1.000,0.000
0.008,0.685,0.175,0.867,-0.166,-1.768,0.764,-1.000,0.000
1.284,-0.351,0.038,-2.490,0.005,1.045,0.900,-1.000,0.000
1.128,0.022,-1.068,2.618,1.430,-1.404,0.752,-1.000,0.000
-0.767,0.335,0.649,-1.226,-2.780,1.636,0.856,-1.000,0.000
1.749,-0.981,0.972,-1.871,2.476,-3.019,0.898,-1.000,0.000
