q1,q2,q3,q4,q5,q6,index,obj,alpha_6,a_6,,,,,,,,,,,,,,,,,,,,,,
105.415,4.426,136.466,-55.892,69.890,331.502,d_6,-0.657,0.283,0.030,0.023,-0.341,-0.236,-0.090,0.272,0.045,-0.225,0.005,-0.074,0.037,0.006,-0.123,0.000,0.038,0.020,0.001,-0.017,-0.062,0.030,0.008,0.000,-0.000
105.308,4.128,136.613,-59.201,63.010,-360.000,d_6,-0.612,0.682,-0.298,-0.228,-0.460,-0.329,-0.141,0.252,0.087,-0.381,0.037,-0.115,0.055,0.009,-0.172,0.002,0.037,0.034,-0.002,-0.023,-0.045,0.048,0.009,-0.000,-0.000
106.195,4.092,136.785,-58.040,105.573,-351.445,d_6,-0.486,0.094,-0.008,-0.006,-0.284,0.366,0.058,0.171,0.049,0.323,0.027,-0.064,-0.066,0.005,-0.093,-0.001,-0.088,0.014,-0.003,0.001,0.122,-0.016,0.005,0.000,-0.000
106.392,7.123,129.093,-98.777,106.731,-61.047,d_6,-0.484,1.063,0.907,0.693,-0.770,0.305,0.026,-0.772,0.483,0.227,0.738,0.443,-0.029,0.082,0.262,-0.004,-0.160,-0.092,0.014,0.019,-0.160,-0.062,0.001,0.000,-0.000
106.434,7.044,128.803,-98.568,106.239,301.840,d_6,-0.483,1.034,0.881,0.673,-0.771,0.302,0.025,-0.781,0.484,0.220,0.741,0.446,-0.035,0.088,0.253,-0.005,-0.174,-0.089,0.014,0.021,-0.166,-0.067,0.001,0.000,-0.000
106.385,7.201,128.826,-98.823,105.441,307.351,d_6,-0.483,0.980,0.822,0.628,-0.771,0.304,0.023,-0.789,0.484,0.224,0.742,0.459,-0.028,0.085,0.272,-0.004,-0.168,-0.095,0.015,0.019,-0.161,-0.061,0.001,0.000,-0.000
106.420,7.063,128.922,-98.136,107.529,293.244,d_6,-0.483,1.123,0.945,0.722,-0.768,0.305,0.028,-0.749,0.479,0.242,0.733,0.440,-0.027,0.086,0.254,-0.005,-0.168,-0.089,0.014,0.020,-0.165,-0.065,0.001,0.000,-0.000
106.380,7.274,128.353,-99.032,103.280,-43.159,d_6,-0.483,0.894,0.698,0.533,-0.773,0.301,0.019,-0.818,0.489,0.202,0.751,0.484,-0.034,0.092,0.283,-0.004,-0.187,-0.099,0.015,0.019,-0.160,-0.060,0.001,0.000,-0.000
106.320,7.340,128.131,-99.994,100.414,-33.037,d_6,-0.482,0.817,0.534,0.408,-0.780,0.300,0.014,-0.865,0.500,0.170,0.765,0.505,-0.039,0.094,0.292,-0.004,-0.199,-0.101,0.015,0.017,-0.146,-0.053,0.001,0.000,-0.000
106.270,7.430,128.095,-99.947,99.986,329.990,d_6,-0.482,0.797,0.477,0.365,-0.779,0.304,0.014,-0.865,0.499,0.197,0.763,0.512,-0.026,0.093,0.301,-0.003,-0.199,-0.104,0.016,0.014,-0.140,-0.046,0.001,0.000,-0.000
106.495,7.286,129.390,-98.196,108.124,283.448,d_6,-0.481,1.225,0.981,0.749,-0.762,0.300,0.029,-0.714,0.473,0.244,0.725,0.446,-0.033,0.075,0.283,-0.005,-0.128,-0.100,0.016,0.023,-0.190,-0.074,0.001,0.000,-0.000
106.255,7.342,127.997,-101.177,96.882,337.680,d_6,-0.481,0.754,0.329,0.251,-0.788,0.301,0.008,-0.920,0.515,0.136,0.780,0.520,-0.045,0.096,0.293,-0.003,-0.211,-0.101,0.015,0.014,-0.129,-0.045,0.000,0.000,-0.000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105.970,4.035,136.160,-97.812,86.603,181.020,d_5,-1.513,0.765,-0.092,-0.070,-0.284,0.184,-0.042,-0.613,0.752,-0.007,0.287,-0.065,-0.036,0.010,-0.154,0.000,-0.028,0.052,0.003,0.003,-0.004,-0.008,0.000,0.000,-0.000
106.594,2.095,134.986,132.760,-91.192,-181.302,d_5,-1.392,0.004,0.349,0.267,-0.000,-0.904,-0.252,-7.127,1.976,-0.009,0.177,0.322,-0.007,-0.048,-0.021,0.012,0.108,0.001,0.053,0.002,0.004,0.002,0.001,0.000,-0.000
107.035,0.271,134.096,135.959,-87.761,-25.328,d_5,-1.174,-1.200,0.581,0.443,0.000,-1.013,-0.268,-7.336,1.974,0.004,0.169,0.538,-0.006,-0.078,-0.047,0.019,0.178,0.004,0.085,0.002,0.016,0.003,0.003,0.000,-0.000
106.585,1.442,132.745,135.080,-95.448,-360.000,d_5,-1.151,-1.221,0.029,0.022,0.000,-0.912,-0.254,-7.354,1.976,-0.050,0.187,0.570,-0.048,-0.081,-0.026,0.012,0.196,0.002,0.064,0.002,-0.018,0.002,0.001,0.000,-0.000
105.877,4.802,138.649,-128.597,89.446,-1.016,d_5,-0.652,0.652,-0.037,-0.028,-0.897,0.348,-0.001,-1.939,0.824,-0.000,0.897,-0.231,0.051,-0.030,-0.051,0.000,0.076,0.017,-0.001,-0.002,0.010,0.005,-0.000,0.000,-0.000
105.514,5.602,129.622,66.224,-73.261,238.051,d_5,-0.621,0.867,-1.316,-1.005,-0.844,-0.945,-0.318,6.100,-1.309,0.447,0.971,0.375,0.123,0.088,0.052,0.002,-0.261,-0.015,0.002,-0.016,0.056,0.054,-0.001,0.000,-0.000
105.103,6.358,131.017,63.761,-98.888,-227.015,d_5,-0.612,0.873,0.893,0.682,-0.868,0.932,0.136,6.042,-1.280,0.304,1.032,0.359,-0.062,0.056,0.119,0.004,-0.238,-0.043,0.004,-0.037,0.146,0.112,0.001,0.000,-0.000
102.060,37.102,83.892,148.771,-93.180,-186.630,d_5,-0.581,-0.005,-0.117,-0.089,-0.000,0.837,0.213,7.586,-1.980,-0.105,0.170,0.294,0.602,0.256,1.862,0.067,-0.948,-0.426,0.493,-0.021,-0.096,0.107,0.007,0.000,-0.000
112.112,-7.195,123.392,-180.000,-79.061,220.235,d_5,-0.560,0.343,1.186,0.906,-0.385,-1.125,-0.328,-6.190,1.848,0.003,0.519,2.007,-0.300,-0.060,-0.846,0.094,0.491,0.298,0.184,0.144,0.143,-0.320,0.018,-0.000,-0.000
111.956,-6.965,123.195,-180.000,-80.967,-148.874,d_5,-0.559,0.429,1.044,0.798,-0.393,-1.088,-0.323,-6.158,1.844,-0.011,0.535,2.017,-0.324,-0.057,-0.835,0.091,0.481,0.296,0.180,0.143,0.125,-0.319,0.018,0.000,-0.000
112.408,-7.383,123.560,-180.000,-76.977,-127.531,d_5,-0.559,0.213,1.335,1.020,-0.376,-1.170,-0.335,-6.232,1.851,0.003,0.501,2.001,-0.268,-0.063,-0.852,0.098,0.511,0.298,0.187,0.149,0.172,-0.326,0.020,0.000,-0.000
112.313,-7.646,123.646,-180.000,-76.806,237.560,d_5,-0.559,0.155,1.377,1.052,-0.372,-1.196,-0.340,-6.249,1.852,0.041,0.496,1.999,-0.262,-0.064,-0.870,0.097,0.503,0.302,0.191,0.145,0.169,-0.318,0.020,-0.000,-0.000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107.439,2.304,126.751,-55.931,64.527,-279.758,a_5,-0.341,0.556,-0.862,-1.128,-0.192,-0.027,-0.348,0.057,0.252,-0.025,0.152,0.213,0.196,-0.249,-0.328,-0.010,-0.425,0.118,-0.016,0.067,-0.208,-0.206,0.002,-0.000,-0.000
