q1,q2,q3,q4,q5,q6,index,d
16.01737976,23.50799561,137.62298584,-93.57467651,63.00315857,50.56594849,a_6,-1.00000000
13.95950317,24.69932556,139.37049866,-105.12680054,107.82669067,-63.17756653,a_6,-1.00000000
13.43765259,24.98085022,138.80332947,-112.65449524,57.05062866,147.40356445,a_6,-1.00000000
13.90869141,25.91331482,137.95738220,-118.85559082,64.36134338,-179.90867615,a_6,-1.00000000
16.18148804,24.09988403,138.76487732,-110.34187317,111.33476257,-147.07946777,a_6,-1.00000000
16.11488342,25.27679443,137.87841797,-116.04171753,106.64154053,-164.61570740,a_6,-1.00000000
16.24397278,24.99870300,137.63259888,-118.22662354,102.05886841,179.90867615,a_6,-1.00000000
17.34054565,25.52398682,137.36549377,-120.98487854,87.92358398,148.64845276,a_6,-1.00000000
32.20848083,11.20056152,134.02359009,-5.67855835,7.85728455,-12.48046875,a_6,-1.00000000
14.55688477,24.71580505,139.88891602,-96.15234375,87.26715088,-11.00692749,d_6,-1.00000000
14.58641052,22.75062561,144.09873962,-108.40141296,107.32337952,-103.82286072,d_6,-1.00000000
15.53054810,22.20886230,144.76272583,-107.20596313,61.01257324,93.45176697,d_6,-1.00000000
14.42298889,25.39764404,134.56947327,-129.22462463,84.23835754,179.68688965,d_6,-1.00000000
15.17486572,18.45634460,112.38395691,-4.30595398,90.12977600,-17.27050781,d_6,-1.00000000
15.48248291,20.42358398,128.64852905,71.96662903,-81.13540649,-177.14973450,d_6,-1.00000000
16.18560791,21.37184143,144.53475952,-108.21533203,47.91412353,92.92648315,a_5,-1.00000000
13.75968933,21.42196655,144.28894043,-106.73767090,124.96261597,-95.31463623,a_5,-1.00000000
16.14646912,21.10885620,127.45445251,70.02342224,-103.55644226,167.90679932,a_5,-1.00000000
13.93272400,22.34687805,129.17999268,58.23097229,-71.14334106,170.99876404,a_5,-1.00000000
