q1,q2,q3,q4,q5,q6,index,d
105.90545654,4.29496765,136.19750977,-88.34381104,82.78060913,-142.50297546,alpha_4,-1.00000000
105.94047546,4.20639038,136.06292725,-87.46833801,89.91210937,145.15136719,alpha_4,-1.00000000
144.50798035,20.39337158,139.25994873,-1.89170837,17.21351624,-177.31864929,alpha_4,-1.00000000
143.35441589,17.44834900,139.06974792,-10.45349121,15.35064697,167.87658691,alpha_4,-1.00000000
138.26293945,12.74757385,134.18632507,-20.50254822,30.45959473,177.44155884,alpha_4,-1.00000000
152.87132263,-6.51489258,137.72666931,151.05033875,-42.55897522,-315.59944153,alpha_4,-1.00000000
53.91334534,-11.67778015,-51.10084534,69.98634338,130.73181152,-250.82061768,alpha_4,-1.00000000
105.97549438,3.98666382,135.51498413,-96.48468018,85.76065063,-181.09588623,a_4,-1.00000000
105.89241028,-1.29638672,136.81755066,86.59286499,-86.58393860,181.42959595,a_4,-1.00000000
108.63281250,-0.72578430,71.47018433,-180.00000000,-94.99534607,-161.80732727,a_4,-1.00000000
109.81452942,0.84388733,74.44129944,-179.99450684,-94.39865112,-173.28735352,a_4,-1.00000000
105.85945129,5.03860474,117.37792969,-26.39945984,77.51335144,136.10549927,theta_4,-1.00000000
105.84983826,5.03791809,117.11357117,-26.60545349,80.01548767,144.33769226,theta_4,-1.00000000
105.80863953,4.97268677,154.99992371,-120.12176514,109.61746216,255.76995850,theta_4,-1.00000000
106.24946594,5.29747009,106.82762146,118.54934692,-99.77577210,27.53791809,theta_4,-1.00000000
104.76287842,3.67561340,152.71270752,-97.96577454,93.00476074,35.01892090,alpha_3,-1.00000000
106.57562256,4.00039673,122.91297913,-37.99484253,87.24517822,237.70980835,alpha_3,-1.00000000
106.41975403,5.80833435,111.15486145,-7.50434875,99.14680481,360.00000000,alpha_3,-1.00000000
106.04896545,4.87861633,151.59141540,-100.42739868,83.11019897,-44.20074463,alpha_3,-1.00000000
105.94871521,5.15670776,114.18296814,-12.79975891,89.05654907,-314.95262146,alpha_3,-1.00000000
106.01394653,4.92942810,154.99992371,-104.67292786,73.20053101,-360.00000000,alpha_3,-1.00000000
106.00845337,5.24871826,3.38516235,69.99938965,120.94436645,91.64863586,a_3,-1.00000000
106.13067627,5.31051636,0.52940369,69.99938965,121.23275757,90.98533630,a_3,-1.00000000
106.02081299,5.29541016,-8.25279236,69.99938965,121.75392151,86.30653381,a_3,-1.00000000
106.11968994,5.26245117,9.86503601,69.91287231,119.85740662,83.55789185,a_3,-1.00000000
106.05789185,5.36544800,-6.84997559,69.99938965,121.89193726,-253.46351624,a_3,-1.00000000
106.10664368,5.19241333,7.33406067,69.99938965,120.19042969,-257.77565002,a_3,-1.00000000
105.91232300,5.13198853,-2.98072815,69.99938965,121.66671753,-262.96051025,a_3,-1.00000000
106.02973938,5.31394958,1.89102173,69.99870300,121.12152100,-268.28750610,a_3,-1.00000000
106.58866882,5.46295166,8.67851257,69.99938965,120.07644653,-291.33956909,a_3,-1.00000000
94.23866272,-63.66783142,81.30844116,31.34536743,127.49839783,72.13966370,theta_3,-1.00000000
93.54858398,-67.19169617,88.40217590,28.35571289,127.90695190,57.45094299,theta_3,-1.00000000
93.66600037,-65.81634521,86.34361267,32.93769836,127.47299194,55.95886230,theta_3,-1.00000000
93.28285217,-68.41392517,91.95350647,27.35183716,127.97492981,51.48399353,theta_3,-1.00000000
92.14988708,-74.54154968,103.96087646,16.00433350,129.41070557,31.87271118,theta_3,-1.00000000
91.68159485,-75.89561462,106.82762146,13.97598267,130.03486633,23.72154236,theta_3,-1.00000000
91.11785889,-79.14138794,115.15663147,4.71038818,130.60752869,13.87985229,theta_3,-1.00000000
90.98533630,-80.06492615,117.78648376,2.24533081,131.09848022,5.80764771,theta_3,-1.00000000
93.93791199,-65.47233582,85.45852661,28.44635010,127.62886047,-292.27340698,theta_3,-1.00000000
92.74864197,-71.79977417,98.30978394,19.49935913,128.60664368,-314.16366577,theta_3,-1.00000000
105.90957642,5.03036499,-6.35284424,83.16650391,82.12554932,312.43743896,beta_3,-1.00000000
105.90957642,5.02967834,-5.50689697,86.71577454,77.93701172,-31.75186157,beta_3,-1.00000000
105.90957642,5.02967834,-12.87734985,85.03898621,85.75859070,-75.00434875,beta_3,-1.00000000
105.91438293,5.05096436,-15.18791199,93.71543884,83.22830200,-54.83963013,beta_3,-1.00000000
105.90957642,5.02967834,-20.91590881,97.42538452,75.91827393,-45.61798096,beta_3,-1.00000000
105.90957642,5.02967834,-21.92939758,94.10270691,77.42820740,-76.14761353,beta_3,-1.00000000
105.91094971,5.03036499,-24.95681763,108.71864319,77.91709900,-31.67770386,beta_3,-1.00000000
105.90888977,5.03036499,-28.95446777,104.97367859,78.28308105,-65.07270813,beta_3,-1.00000000
105.90957642,5.02967834,-29.97138977,104.33441162,76.27601624,-86.03599548,beta_3,-1.00000000
105.90957642,5.03036499,-29.36096191,114.52697754,67.38464355,-358.68782043,beta_3,-1.00000000
119.68162537,-90.00000000,139.99877930,-15.77156067,49.85664368,338.45524395,alpha_2,-1.00000000
115.86456299,-89.99176025,139.99946594,-18.04573059,49.19746399,20.60897827,alpha_2,-1.00000000
119.63699341,-90.00000000,127.29652405,-2.81799316,48.99765015,-16.43898010,alpha_2,-1.00000000
119.51751709,-90.00000000,149.23141479,-30.42594910,51.28417969,-21.29356384,alpha_2,-1.00000000
120.08468628,-90.00000000,139.99946594,-18.68980408,51.30615234,-31.52183533,alpha_2,-1.00000000
118.64547729,-90.00000000,136.54357910,-22.87147522,59.18266296,-47.49458313,alpha_2,-1.00000000
115.77461243,-90.00000000,148.61068726,-30.56465149,50.34553528,-340.70457458,alpha_2,-1.00000000
115.64895630,-90.00000000,138.16680908,-22.89344788,53.47251892,-359.91897583,alpha_2,-1.00000000
105.90065002,69.99664307,-52.45765686,64.91752625,96.83074951,324.40773010,alpha_2,-1.00000000
105.87593079,69.99938965,-47.33734131,69.81742859,105.23185730,-75.00572205,alpha_2,-1.00000000
248.99139404,-45.00000000,-28.35433960,134.25636292,79.43046570,359.66148376,theta_2,-1.00000000
249.74739075,-45.00000000,-3.41743469,135.93452454,83.73641968,350.62042236,theta_2,-1.00000000
249.59495544,-29.99954224,31.98532104,128.26538086,75.39161682,97.85453796,theta_2,-1.00000000
249.08683777,-33.48976135,0.00068665,125.89645386,69.67460632,83.41850281,theta_2,-1.00000000
250.14839172,-38.06282043,0.00068665,122.40554810,69.88059998,73.32481384,theta_2,-1.00000000
248.95568848,-27.30445862,-8.28575134,125.51261902,74.62326050,-269.75074768,theta_2,-1.00000000
249.19738770,-30.83381653,0.00068665,129.98542786,72.36419678,-282.17697144,theta_2,-1.00000000
249.77760315,-45.00000000,-1.46873474,125.12260437,61.55364990,-291.14456177,theta_2,-1.00000000
249.86343384,-37.32948303,0.00068665,132.37770081,71.61231995,-305.74333191,theta_2,-1.00000000
249.47479248,-41.66564941,-0.72235107,-89.02565002,-79.99969482,-188.78768921,theta_2,-1.00000000
105.90957642,-5.49659729,137.16567993,-50.01251221,91.79969788,32.75367737,beta_2,-1.00000000
105.90957642,-9.45442200,141.19560242,-55.75698853,81.83166504,304.24781799,beta_2,-1.00000000
105.90957642,-7.45559692,140.66757202,-52.88955688,83.32305908,-41.49261475,beta_2,-1.00000000
105.90957642,38.48785400,71.86500549,44.04487610,81.38053894,-281.12983704,beta_2,-1.00000000
257.62733459,45.00000000,-83.68560791,-36.65657043,-68.63365173,114.33883667,beta_2,-1.00000000
260.11161804,14.63378906,-136.82579041,57.48664856,-86.61346436,63.24691772,beta_2,-1.00000000
260.27297974,7.59361267,-137.65663147,51.83761597,-87.35641480,360.00000000,beta_2,-1.00000000
237.12135315,9.72770691,-128.82293701,38.48991394,-85.97351074,-27.17399597,beta_2,-1.00000000
237.07534790,9.35691833,-126.89758301,37.71537781,-85.49491882,-37.09877014,beta_2,-1.00000000
236.99363708,8.26240540,-128.22349548,32.98095703,-88.81896973,-360.00000000,beta_2,-1.00000000
47.27073669,-7.32582092,-15.96244812,69.99938965,148.66149902,188.01658630,alpha_1,-1.00000000
46.28952026,-9.50935364,-23.67691040,69.99938965,137.16567993,182.96699524,alpha_1,-1.00000000
44.42871094,-13.20556641,-7.76390076,69.08752441,142.15347290,173.58535767,alpha_1,-1.00000000
42.04948425,-12.46055603,2.03247070,69.99938965,143.99986267,158.74076843,alpha_1,-1.00000000
46.14875793,-13.48777771,-3.52592468,69.99938965,137.46849060,154.91752625,alpha_1,-1.00000000
32.77084351,-12.46467590,-17.61863709,69.99938965,141.49566650,152.11944580,alpha_1,-1.00000000
35.08483887,-14.66056824,-17.63374329,69.99938965,144.18251038,-173.98979187,alpha_1,-1.00000000
46.05537415,-8.86047363,-12.29644775,69.99938965,142.96646118,-196.80839539,alpha_1,-1.00000000
41.08886719,-17.34191895,-0.93246460,69.99938965,138.78753662,-198.92944336,alpha_1,-1.00000000
37.73941040,-16.08261108,-0.66673279,69.99938965,142.58537292,-214.37278748,alpha_1,-1.00000000
249.30450439,10.68145752,-126.30294800,34.89738464,-86.44386292,211.50878906,a_1,-1.00000000
237.59788513,9.44480896,-138.21693420,62.53761292,-65.41259766,204.12048340,a_1,-1.00000000
244.88594055,10.87646484,-140.23979187,71.88148499,-93.86787415,158.01361084,a_1,-1.00000000
245.21759033,12.29164124,-138.24165344,40.93986511,-99.56153870,50.76576233,a_1,-1.00000000
244.19860840,14.78347778,-139.33753967,35.46798706,-78.84887695,-9.42146301,a_1,-1.00000000
250.33035278,17.54173279,-134.47471619,52.58880615,-90.65093994,-156.09855652,a_1,-1.00000000
247.20886230,19.68750000,-127.97149658,33.73489380,-100.67047119,-193.57566833,a_1,-1.00000000
