q1,q2,q3,q4,q5,q6,index,d
14.74948708,24.20835909,141.86231245,-79.48202339,93.12816743,-47.58920162,alpha_6,31.10000000
15.21882366,23.74901782,142.19493013,-84.33172441,93.14986132,-87.42310739,alpha_6,65.70000000
13.70335205,32.21844981,117.79164236,-60.52213955,98.76555398,-157.51837741,alpha_6,26.10000000
13.35349575,23.08436808,142.29505099,-84.59510518,92.01158317,93.71484233,alpha_6,102.45000000
13.37605222,23.18470595,142.17489809,-85.72527934,87.86356157,92.36653076,alpha_6,94.20000000
13.52075629,23.53934235,142.29796414,-84.84204885,88.29853053,78.85305588,alpha_6,86.50000000
13.57182629,23.54498224,142.37036551,-84.15308946,91.54164784,78.78439997,alpha_6,92.30000000
13.87656631,24.00013194,142.20049076,-82.34673911,86.80476093,50.16592941,alpha_6,60.90000000
13.85459575,25.37075277,134.29110310,-73.23690220,108.72818340,-51.88471883,a_6,25.95000000
14.98557672,25.20439937,136.92361319,-74.50043352,63.66246378,29.38944965,a_6,28.40000000
14.82630360,22.36073200,144.13519425,-80.39857700,54.32771251,45.46992307,a_6,31.00000000
15.00813723,22.82762417,143.31612836,-82.27031072,112.20856496,-56.39429095,a_6,33.30000000
14.28136025,24.71074721,140.27733637,-86.61011372,102.94610532,-42.58606473,a_6,28.50000000
14.34118171,24.93683768,140.86136966,-97.88785792,51.03266731,-179.90747778,a_6,115.95000000
14.74842841,25.00025353,140.93901327,-101.69790649,120.31063985,179.90929900,a_6,124.00000000
16.38255011,18.30231918,133.28839763,28.41247684,-49.71902368,-74.64125670,a_6,31.95000000
14.28877290,24.53554804,141.58014846,-78.79617193,74.56437947,-12.88281519,d_6,29.60000000
14.80363768,24.43246977,141.81788023,-81.87277545,105.09380537,-17.44703336,d_6,29.35000000
14.21561290,24.34573643,142.09386512,-84.57724976,106.80870742,-64.36283378,d_6,32.40000000
14.99657280,24.15808173,142.29517216,-84.82827138,61.40013032,59.21170980,d_6,31.95000000
14.09868155,24.67424318,142.63149221,-89.06070265,107.19394865,-70.30067394,d_6,38.20000000
13.76202833,30.63199376,141.23169883,-119.44677050,77.06926341,153.53020401,d_6,73.10000000
14.24720668,25.71093779,134.23106546,-136.37197920,77.86375221,7.19404703,d_6,226.60000000
14.31195208,27.08517818,142.32465619,20.14940691,-82.90077130,-175.29532556,d_6,93.75000000
13.73702656,23.66804066,142.35076031,-87.78093624,91.65575886,46.60764850,theta_5,72.40000000
14.83273550,23.61319781,141.75061630,-81.30079045,88.09689302,-45.29752600,theta_5,39.15000000
14.67146058,24.15437082,141.99387842,-81.29177526,88.00149589,-35.76613191,theta_5,30.05000000
15.07584222,23.34569946,142.67409142,-89.09769170,52.53187533,58.92023227,a_5,32.10000000
28.69417008,20.80780482,138.22094317,-44.63629277,-0.00175158,54.69070391,a_5,31.30000000
-1.55731698,25.70217287,125.88264077,-8.20720775,179.90775111,23.06114926,a_5,30.45000000
13.40265933,25.44414867,140.79979469,13.75800918,-47.43851871,-179.90762833,a_5,129.70000000
13.83074489,25.41166691,136.72917570,17.86143599,-60.12767392,129.28784606,a_5,125.90000000
16.83901796,24.17220622,137.01166424,18.81633565,-117.47687202,99.52969775,a_5,31.90000000
14.50705555,24.56391069,137.63471010,-100.40716662,86.63182769,-176.92786992,alpha_5,76.35000000
12.99459405,29.33036287,132.82920078,-99.25032771,86.44639992,173.85334031,alpha_5,41.20000000
14.24395227,25.29100299,136.79218393,-95.65860424,85.10549011,178.94806945,alpha_5,72.25000000
14.12467596,25.09425123,136.84887934,-95.60175177,86.74723572,179.90881644,alpha_5,73.50000000
14.41495763,24.61718331,137.51164821,-95.45047598,87.61075816,-175.99404595,alpha_5,77.35000000
14.50458176,24.35014806,137.85361797,-95.29423089,86.12656484,-177.71221612,alpha_5,79.80000000
13.20255282,29.31312553,132.12657699,-95.13902901,89.14116682,-179.67515372,alpha_5,39.00000000
15.58512574,23.56694515,142.04226838,-83.75492305,71.75560193,-118.09025510,alpha_5,111.15000000
14.81720652,24.22642898,142.02121330,-80.43206908,76.77379017,31.38374318,alpha_5,30.80000000
14.65843818,24.35078546,122.66416871,-59.43282655,74.81765336,164.75532716,alpha_5,53.90000000
14.63948918,26.37118722,121.45616314,-56.53267905,83.33023499,179.90840855,alpha_5,42.50000000
15.05737976,25.49392925,117.31841443,-44.61970451,78.90139147,171.51717339,alpha_5,59.30000000
14.36292516,24.52036094,139.07961737,16.40231120,-83.36052080,-178.20166023,alpha_5,85.55000000
15.90524318,16.41565270,129.75836757,124.06036531,-88.27142768,-13.71540698,alpha_5,294.10000000
14.64962864,24.05269505,141.17974370,-122.15709484,116.69652013,-117.38891357,d_5,89.35000000
14.64950947,24.05318248,141.17947740,-130.35126881,112.12417043,-133.78305995,d_5,103.55000000
14.64947949,24.05148134,141.17976287,-133.66851153,101.43001747,-156.28713429,d_5,109.50000000
14.65005402,24.05218626,141.17947006,-147.99467171,90.91644677,-174.42703724,d_5,132.70000000
14.54738809,24.53355941,141.46911743,-142.15358016,89.52367282,-176.01033432,d_5,120.30000000
14.64944876,24.05145268,141.17934006,-138.26308726,82.18831958,173.18036238,d_5,117.25000000
