q1,q2,q3,q4,q5,q6,index,d
14.91407002,24.12019436,141.23188091,-76.19282866,89.34901581,-55.35647181,0.00000000,42.25000000
14.87929869,24.22408493,141.28629200,-76.47321401,88.98240881,12.95263139,0.00000000,30.50000000
15.25861779,23.25236719,140.94411456,-77.50799114,98.56083243,-24.72317832,1.00000000,14.30000000
15.78124640,23.64290602,139.58818551,-73.06092100,86.36429854,-5.91914846,1.00000000,19.35000000
15.68687491,21.90140020,142.82446494,-75.98421791,98.54707995,-27.59493083,1.00000000,17.50000000
15.59306869,22.41103240,143.81922115,-76.81715537,77.28627654,0.22319144,1.00000000,14.50000000
13.85670043,24.94610867,140.57607075,-77.57324761,86.27006680,-38.64887144,1.00000000,36.45000000
13.90253439,23.68042606,138.07265557,-69.24063218,86.79879744,-7.32950504,1.00000000,15.05000000
14.28302389,25.06522222,140.21756852,-84.63029763,85.05597864,-7.10159729,1.00000000,34.00000000
15.19927303,25.68935420,135.68041236,-81.68554201,52.08047201,68.24512021,2.00000000,25.45000000
13.36283963,24.95705541,138.01094552,-78.85866839,64.01444705,43.58259288,2.00000000,17.05000000
13.27562868,25.84241470,134.23224909,-79.30214751,117.41522028,-76.46254391,2.00000000,12.35000000
17.63462307,20.77569871,142.50988424,-90.36736971,114.13265305,-99.60148910,2.00000000,61.15000000
13.11298313,25.16243366,137.51725527,-93.31847286,112.22919248,-65.01963682,2.00000000,43.95000000
13.89435708,24.25646074,141.54349103,-79.98647193,79.36197987,-12.71152586,3.00000000,26.10000000
13.99609774,23.85396324,141.45553058,-79.77673202,107.16424512,-46.49468487,3.00000000,14.90000000
15.63980380,23.89555556,141.63302332,-80.11296189,99.41368718,-26.02829403,3.00000000,15.50000000
14.68627345,23.48366431,141.73546225,-78.52469825,71.50788311,8.76083124,4.00000000,15.30000000
13.82439146,23.09480818,141.21140077,-79.90009968,110.18326001,-45.80138630,4.00000000,14.65000000
14.57480893,23.56572951,140.00172030,-78.19878308,101.30915632,-32.04429011,4.00000000,13.95000000
15.07203400,23.69456735,141.48148322,-75.44101433,71.49151211,-44.59257874,5.00000000,59.80000000
15.06145290,23.77463576,141.25398612,-74.82607504,72.30675254,-24.05158843,5.00000000,36.95000000
15.08558029,23.76052109,141.60553880,-78.78049699,79.30786526,5.21785891,5.00000000,15.25000000
14.10699346,24.12331563,141.90167874,-81.44306430,95.78647298,-2.12654164,6.00000000,24.75000000
14.44372354,23.62502455,141.66595525,-78.90804634,83.21761051,-32.61574704,6.00000000,35.10000000
14.76894719,23.94015912,140.53488761,-77.03575435,86.54641085,-6.20509890,7.00000000,14.85000000
14.89542110,22.91028452,143.10108193,-77.59090718,96.06319225,-25.47119785,7.00000000,14.60000000
14.69486673,24.11724696,141.12237219,-83.01436553,93.41560611,-16.27734072,8.00000000,25.45000000
14.58999295,24.10704843,141.07062158,-80.73359153,87.00649908,-8.65239493,8.00000000,20.35000000
14.89988065,-5.49944176,121.49383450,-25.89467910,89.99714686,-14.89934667,-2.00000000,-1.00000000
57.00425498,-25.99821271,13.98340585,74.00562313,75.99774783,0.00407578,-1.00000000,-1.00000000
106.00677908,-37.00215827,-56.01274858,85.99614926,34.00005394,10.99879245,-1.00000000,-1.00000000
112.16967197,-49.00399917,-124.60429058,97.79588797,-7.14114621,20.75943302,9.00000000,392.00000000
88.62707108,-41.28978227,-130.07173316,100.36212189,-3.17497635,-179.90782670,9.00000000,453.10000000
14.64955330,-7.70965994,122.11332922,-24.40558633,89.99826706,-14.64040301,-2.00000000,-1.00000000
90.00513036,-10.00441455,17.98147221,-64.00049263,2.98761095,50.00699259,-1.00000000,-1.00000000
59.14568318,-24.14075881,-33.59676979,-58.84692643,-32.02740492,78.50410218,10.00000000,1052.15000000
57.05108292,-22.85289338,-32.33401575,-29.15477022,-32.47579134,75.58168706,10.00000000,1110.05000000
40.84050142,-15.75603647,-15.94240946,79.03027046,35.08173761,-88.18029614,10.00000000,1055.70000000
23.30104166,4.05875080,-31.72095881,122.55189157,33.14783437,-93.01288428,10.00000000,949.75000000
32.71697410,-1.82191766,-23.82594338,98.16356913,34.76532252,-95.24885269,10.00000000,986.45000000
38.91166802,53.12137330,-111.84382715,-17.98276644,-31.56797419,91.72004844,10.00000000,686.45000000
70.06,13.29,63.87,105.64,33.23,-89.88,-3,-1
12.67791346,19.88162605,-45.00194259,105.64329993,33.22735231,-89.87919363,10.00000000,914.15000000
9.61900176,20.32271597,-37.59628698,87.26208550,35.27586669,-56.67994971,10.00000000,924.45000000
2.04835606,50.15807170,-49.91236803,62.42721935,43.78489252,-116.68008791,10.00000000,751.50000000
14.64884476,-7.71083433,122.11333791,-24.40533424,89.99879506,-14.63923697,-2.00000000,-1.00000000
34.99405786,-5.49747075,121.49851757,-25.89839453,19.99915077,-14.89830030,-1.00000000,-1.00000000
34.99909237,14.99622935,72.56266554,-112.55425584,0.00216503,-67.32317903,-1.00000000,-1.00000000
12.32535948,37.34989168,52.45194230,-150.95642884,-94.72608681,-0.62912975,11.00000000,408.35000000
13.05664335,37.06116429,49.15018991,-142.27162562,-84.23579986,-15.57253607,11.00000000,447.70000000
8.36785402,38.73463079,32.62301759,-137.39878800,-100.05607733,-3.83479569,11.00000000,506.05000000
7.56110363,38.60981307,47.88816780,-142.45883777,-126.30633036,20.08937295,11.00000000,444.45000000
14.64898050,-7.70901562,122.11273508,-24.40604593,89.99913665,-14.63933197,-2.00000000,-1.00000000
-4.77470971,32.83133542,100.09705861,4.37619081,98.74057009,179.90933530,12.00000000,145.10000000
-1.87894117,27.00058516,92.13784067,30.72609862,95.14288455,-65.04769542,12.00000000,200.20000000
35.00987160,26.99909697,92.13621488,30.72605790,95.14365336,-65.04792106,-3.00000000,-1.00000000
35.00015898,32.72140659,84.76998925,128.32668819,-92.33966815,30.44475515,-3.00000000,-1.00000000
-4.62433091,32.72480634,84.76915126,128.33424709,-92.34629964,30.45337115,12.00000000,197.60000000
8.79693164,42.90246078,87.77377456,128.35783028,-87.38223110,-48.35935240,12.00000000,13.85000000
-5.42041503,34.27518570,97.62657109,150.22558567,-90.91269516,-179.90798113,12.00000000,172.80000000
21.07694726,21.17635114,133.83962874,-56.97858305,78.29579201,25.27307182,14.00000000,85.00000000
21.07774358,21.17583588,133.54866221,-57.34050763,67.06474046,38.07243714,14.00000000,75.90000000
21.07710530,21.17659259,136.73994895,-61.03494280,94.65391516,-36.91921904,14.00000000,40.15000000
8.29187208,26.05319983,135.46894185,-73.93316159,89.04265071,-96.15867310,14.00000000,106.80000000
8.27757272,25.82344408,143.33392279,-85.13595599,85.34584966,-48.41453454,14.00000000,97.65000000
20.97441385,26.82312118,149.86643164,-94.49561362,88.73207330,-6.85404980,14.00000000,59.55000000
20.39045411,23.10974752,136.01074939,-65.27269599,90.48846611,69.00761519,14.00000000,122.70000000
6.13172715,17.70741619,144.91788533,-69.84634169,82.10760083,19.69013156,15.00000000,70.75000000
6.13215258,17.70835018,139.16093992,-62.13109559,125.64331245,-56.70986223,15.00000000,64.45000000
6.13022540,17.70735113,147.05152979,-77.60592837,111.39517889,-44.55562158,15.00000000,95.60000000
6.13205803,17.70759261,147.90599583,-82.68048513,110.84063610,-64.73808771,15.00000000,116.60000000
6.12951996,17.70661065,145.89849873,-82.60592379,108.34701383,-91.80872988,15.00000000,133.35000000
6.13231698,17.70816095,154.12492697,-92.44314082,90.95995354,-77.98142493,15.00000000,182.85000000
6.12911595,17.70901405,151.49741398,-89.14485462,85.90042973,-101.44010772,15.00000000,196.05000000
6.10742436,17.74068070,140.66595236,-70.17646069,100.68461766,-117.90657422,15.00000000,144.35000000
15.89795706,10.49419229,140.12313489,-46.31825363,47.47883112,-32.70680198,15.00000000,109.25000000
22.02297717,30.40813424,149.31958223,-99.95916020,72.23826492,-67.11778139,15.00000000,54.70000000
7.38650446,17.47176699,154.24242883,-90.15144059,58.96610985,58.60022550,15.00000000,127.10000000
13.59344275,38.32836454,141.28919774,-135.36577251,44.83395941,-15.93093089,15.00000000,129.35000000
13.59301350,38.32744963,137.35927116,-141.35460924,54.07549073,-43.10033870,15.00000000,148.60000000
13.59290114,38.32783728,138.75644989,-144.87647423,74.27467035,-57.92541345,15.00000000,123.15000000
13.59390781,38.32865133,141.07222582,-129.43667498,113.31935046,-77.77001500,15.00000000,16.60000000
14.64910028,-7.71100296,122.11241747,-24.40606852,89.99996978,-14.64008465,-2.00000000,-1.00000000
49.99964553,-30.00239249,54.99072034,47.00378906,77.99722818,180.00813336,-1.00000000,-1.00000000
103.53020251,-80.21781756,-11.70732282,103.00995421,66.99594021,180.00046548,-1.00000000,-1.00000000
85.53756367,-80.21306322,24.09240525,138.43062166,49.30313508,129.34891732,16.00000000,798.35000000
85.38984923,-80.21283322,-2.48838888,105.75630309,41.32136281,81.11662243,16.00000000,791.80000000
84.67713060,-80.21344227,-11.78948833,99.23176769,49.34116336,44.77254336,16.00000000,828.40000000
84.45071106,-80.21258146,-13.91764892,97.90182732,58.21985939,26.20682583,16.00000000,843.15000000
85.20635356,-80.21362189,-5.39751233,89.77858708,46.38713823,94.16757116,16.00000000,827.15000000
85.65041218,-80.21283431,3.05407105,80.29375236,73.16679417,160.68869309,16.00000000,839.95000000
112.00947354,-46.98766807,-49.02380429,124.01041809,72.99727664,159.99847774,-3.00000000,-1.00000000
107.99713996,-32.99775134,-78.00494194,-18.00792010,31.05477335,-64.43866681,-3.00000000,-1.00000000
85.22514486,-80.21287601,29.56844005,-68.61727201,-84.54100685,-178.26274926,16.00000000,857.50000000
85.51134230,-80.21371559,24.70714174,-90.17939014,-81.24297358,-179.83737273,16.00000000,827.75000000
85.22479557,-80.21370606,29.56944640,-95.96492915,-47.58886265,-123.59034641,16.00000000,811.85000000
85.22629686,-80.21340730,29.56881332,-123.99960727,-34.10967600,-74.29325647,16.00000000,762.05000000
16.43437712,8.07068441,156.01002493,-72.05416377,102.83895333,-28.82177309,17.00000000,124.60000000
16.43281698,8.27107048,155.85464904,-70.29963815,89.33613672,-7.86570101,17.00000000,118.15000000
14.64815723,-7.70958156,122.11334416,-24.40558459,89.99674854,-14.64011924,-2.00000000,-1.00000000
49.99930054,-30.00334666,54.99056477,47.00348602,77.99693163,180.00646525,-1.00000000,-1.00000000
129.48750994,-46.68451890,0.72463316,76.99559407,76.16812549,-64.35503146,19.00000000,723.70000000
129.48701791,-34.21686833,-3.27864433,155.86927429,75.87462606,-92.49265555,19.00000000,629.95000000
129.48727741,-35.44629036,-5.84325643,136.05289693,70.74941254,-116.27384483,19.00000000,648.25000000
129.48725914,-38.74923817,-10.66693852,88.19846145,68.70420851,-112.82875462,19.00000000,695.45000000
129.48807036,-37.95554627,-9.54883137,109.50481566,67.91156822,-113.48919063,19.00000000,665.30000000
129.48737916,-40.50390811,-12.62877998,100.81994148,63.22961500,-81.89436949,19.00000000,681.55000000
129.48706819,-36.52175707,-7.03397397,96.85354303,55.33930548,-151.35878244,19.00000000,693.50000000
129.48713722,-41.72912678,-13.23649050,93.45685009,53.49059828,-54.50044030,19.00000000,715.95000000
129.48808172,-36.01819323,-6.87938728,101.36755466,52.40053207,-156.07036957,19.00000000,691.70000000
129.48755667,-40.91300970,-12.32811333,142.05517551,39.44987692,-60.66602945,19.00000000,627.00000000
14.65053256,-7.71044029,122.11256935,-24.40628667,89.99809515,-14.63851070,-2.00000000,-1.00000000
-22.00611411,5.99765080,30.97443929,43.00960887,109.99900579,50.00618908,-1.00000000,-1.00000000
-63.41823438,20.94644367,-61.71718749,94.31153682,141.56031924,52.55678418,20.00000000,962.25000000
-63.32306040,-10.82052337,9.87964582,86.62867223,125.05543532,79.29832079,20.00000000,972.80000000
-63.16384410,20.88543435,-56.47797021,84.77133906,138.64571501,91.25182280,20.00000000,969.30000000
-63.24002184,20.90382159,-59.49306680,79.73889865,130.54978187,72.65666308,20.00000000,974.25000000
-63.34769995,-10.69768672,8.15479770,71.11040045,113.69907456,84.28545650,20.00000000,993.25000000
-63.23424157,8.44250580,-44.01550637,69.07072694,115.03332000,46.99021695,20.00000000,1042.45000000
-63.39001165,-10.41265698,10.20904345,67.09283700,113.30379741,98.68952575,20.00000000,990.60000000
-63.13944212,-12.08287929,-0.29259449,60.03978985,125.62774370,16.87168628,20.00000000,1072.25000000
-63.15699696,-11.98009349,1.52935774,58.72532628,111.33711117,45.93333717,20.00000000,1056.80000000
-63.15780234,-11.97579129,0.19038199,44.14183362,104.60511686,30.14929580,20.00000000,1107.10000000
-63.37205498,-10.52845639,9.33297730,31.89695727,101.62800731,118.95802975,20.00000000,1040.80000000
