q1,q2,q3,q4,q5,q6,index,d
15.049,23.803,139.071,-80.413,64.344,32.294,0.00000000,33.70000000
13.555,25.458,137.920,-107.084,55.792,136.090,0.00000000,60.90000000
14.298,24.952,138.096,-116.998,63.600,-179.909,0.00000000,93.25000000
15.943,24.355,138.379,-105.435,113.120,-135.069,0.00000000,66.95000000
15.840,24.014,137.989,-113.441,108.362,-163.026,0.00000000,90.65000000
16.747,24.102,137.868,-119.780,96.477,164.880,0.00000000,110.10000000
14.65,-7.71,122.12,-24.41,90.000,-14.64,-2.00000000,-1.00000000
44.44,-7.71,122.12,-24.41,90.000,-14.64,-1.00000000,-1.00000000
38.44,23.33,134.45,23.58,-25.33,105.71,-1.00000000,-1.00000000
17.75,15.88,139.53,24.59,-97.26,105.71,-1.00000000,-1.00000000
13.342,23.324,134.448,23.580,-116.864,105.713,0.00000000,32.20000000
9.3,3.28,137.06,41.07,-120.9,105.82,-3.00000000,-1.00000000
9.3,3.28,137.06,41.07,-120.9,-88.140,-3.00000000,-1.00000000
17.056,20.052,134.935,25.126,-45.932,-88.140,0.00000000,33.60000000
14.486,24.055,141.306,-80.266,79.089,-16.764,1.00000000,31.95000000
15.186,24.268,138.225,-99.867,102.657,-13.480,1.00000000,109.55000000
15.184,24.252,138.424,-99.204,103.189,-13.265,1.00000000,106.50000000
12.966,23.969,142.094,-87.239,110.715,-59.741,1.00000000,31.60000000
16.184,21.309,150.423,-134.289,85.021,179.046,1.00000000,148.80000000
16.032,21.329,150.310,-133.671,88.090,-173.422,1.00000000,147.35000000
14.639,24.612,134.905,-141.614,85.424,179.909,1.00000000,125.40000000
14.65,-7.71,122.12,-24.41,90.000,-14.64,-2.00000000,-1.00000000
14.666,20.575,115.287,-2.565,93.404,-21.479,1.00000000,31.20000000
14.65,-7.71,122.12,-24.41,90.000,-14.64,-2.00000000,-1.00000000
44.44,-7.71,122.12,-24.41,90.000,-176.949,-1.00000000,-1.00000000
38.44,23.33,134.45,23.58,-25.33,-176.949,-1.00000000,-1.00000000
17.75,15.88,139.53,24.59,-97.26,-176.949,-1.00000000,-1.00000000
14.656,24.572,133.410,46.356,-82.155,-176.949,1.00000000,63.00000000
14.65,-7.71,122.12,-24.41,90.000,-14.64,-2.00000000,-1.00000000
14.631,23.389,-10.250,66.911,141.186,57.713,1.00000000,855.15000000
15.164,22.879,142.353,-88.409,52.519,59.227,3.00000000,33.10000000
14.65,-7.71,122.12,-24.41,90.000,-14.64,-2.00000000,-1.00000000
44.44,-7.71,122.12,-24.41,90.000,-14.64,-1.00000000,-1.00000000
38.44,23.33,134.45,23.58,-25.33,105.71,-1.00000000,-1.00000000
17.75,15.88,139.53,24.59,-97.26,90.932,-1.00000000,-1.00000000
17.611,21.130,136.301,22.568,-111.048,90.932,3.00000000,30.05000000
9.3,3.28,137.06,41.07,-120.9,90.932,-3.00000000,-1.00000000
9.3,3.28,137.06,41.07,-120.9,-111.961,-3.00000000,-1.00000000
12.640,25.663,135.449,18.888,-54.103,-111.961,3.00000000,34.00000000
13.702,25.864,135.810,25.952,-53.654,-144.272,3.00000000,61.20000000
14.221,23.856,141.842,-82.470,80.735,29.093,5.00000000,34.30000000
14.188,23.836,141.939,-83.220,87.326,26.084,5.00000000,43.55000000
14.215,23.846,141.924,-82.996,88.570,23.806,5.00000000,43.50000000
13.740,23.667,142.351,-87.782,91.657,46.606,5.00000000,71.05000000
14.833,23.611,141.751,-81.302,88.099,-45.299,5.00000000,39.80000000
17.681,20.430,144.482,-103.848,47.706,179.909,5.00000000,133.00000000
18.130,21.095,144.305,-105.987,35.081,121.916,5.00000000,88.95000000
14.65,-7.71,122.12,-24.41,90.000,-14.64,-2.00000000,-1.00000000
28.589,20.633,139.604,-14.493,-0.000,-44.523,5.00000000,32.25000000
14.65,-7.71,122.12,-24.41,90.000,-14.64,-2.00000000,-1.00000000
-1.934,27.537,129.472,-15.178,179.909,50.003,5.00000000,31.30000000
