q1,q2,q3,q4,q5,q6,index,d
15.04934802,23.80573334,139.07033692,-80.41151947,64.34079331,32.29619050,0.00000000,33.90000000
13.55293791,25.46052369,137.91950094,-107.08277983,55.78987181,136.09216770,0.00000000,60.85000000
14.29462255,24.95431291,138.09548396,-116.99684080,63.59715127,-179.90804658,0.00000000,93.25000000
15.94231319,24.35732979,138.37862420,-105.43478558,113.11899154,-135.06902662,0.00000000,66.20000000
15.83951669,24.01669594,137.98762969,-113.43951249,108.36045181,-163.02455130,0.00000000,89.80000000
16.74585054,24.10470326,137.86655968,-119.77880777,96.47576081,164.88011246,0.00000000,109.25000000
13.34045060,23.32386565,134.44641686,23.58029759,-116.86433557,105.71509450,0.00000000,32.20000000
17.05520536,20.05369833,134.93338391,25.12671305,-45.93303292,-88.13916791,0.00000000,32.85000000
14.48336147,24.05549896,141.30530310,-80.26500512,79.08649609,-16.76352036,1.00000000,32.05000000
15.18631805,24.27032555,138.22426160,-99.86356446,102.65612507,-13.47668479,1.00000000,110.35000000
15.18220226,24.25410429,138.42406879,-99.20384419,103.18677667,-13.26334760,1.00000000,107.30000000
12.96394370,23.97132165,142.09361489,-87.23705103,110.71344322,-59.74132414,1.00000000,30.95000000
16.18414242,21.31139331,150.42195511,-134.28694798,85.01725108,179.04672528,1.00000000,147.95000000
16.03106889,21.33239888,150.30930462,-133.67076000,88.08862016,-173.42213175,1.00000000,146.50000000
14.63888471,24.61381627,134.90321142,-141.61258751,85.42072841,179.90822683,1.00000000,125.65000000
14.66372144,20.57654803,115.28370553,-2.56326995,93.40242541,-21.47820043,1.00000000,32.15000000
14.65429827,24.57331677,133.40849829,46.35695467,-82.15488683,-176.94817445,1.00000000,62.15000000
14.62838400,23.39105520,-10.25164836,66.91217826,141.18451194,57.71571222,1.00000000,855.45000000
14.09104674,23.68668497,141.40360384,-81.20439752,71.11887680,48.62783667,2.00000000,30.80000000
14.84868584,23.74974933,141.48950936,-80.12788556,97.44781378,-55.06113143,2.00000000,30.25000000
15.18184120,23.28720828,141.73931588,-91.55660417,95.34511527,-129.39187137,2.00000000,84.90000000
15.16744927,23.26158460,141.72155582,-92.69816784,94.24561164,-138.18274055,2.00000000,89.45000000
15.07388285,23.34364752,141.57042327,-94.10694583,92.65300215,-149.83825911,2.00000000,93.65000000
14.87777523,23.56960232,141.34173674,-95.44306986,91.79108724,-159.16933272,2.00000000,95.05000000
14.86445944,23.35831787,141.57474773,-95.55513359,91.49597953,-161.21167453,2.00000000,97.50000000
14.80002623,23.11006383,141.75191308,-96.18091206,88.07943806,-177.42444588,2.00000000,102.40000000
15.58276586,23.89300924,140.67625851,-85.51688695,116.12572025,-50.33615202,2.00000000,31.95000000
14.11053559,29.75939135,142.02659868,9.32911281,-81.60940994,-171.13052859,2.00000000,81.10000000
14.69274653,29.02447917,143.33199678,9.26281291,-84.87076657,179.90898252,2.00000000,90.30000000
14.62338845,25.29733781,129.62566049,-136.61356015,85.67749384,-178.74658442,2.00000000,131.90000000
14.25645250,25.62040023,129.46410284,-135.37395735,75.21024928,168.20735412,2.00000000,129.10000000
15.16397031,22.88070926,142.35250704,-88.40742666,52.51682343,59.22730691,3.00000000,33.00000000
17.60867701,21.13322818,136.29869655,22.56935571,-111.04856207,90.93298421,3.00000000,29.90000000
12.64009940,25.66450833,135.44648946,18.89001144,-54.10342022,-111.96089259,3.00000000,33.30000000
13.70053011,25.86717722,135.80931125,25.95351764,-53.65258145,-144.27081268,3.00000000,60.35000000
14.21834718,23.85776788,141.84174493,-82.46947608,80.73251382,29.09523466,5.00000000,34.50000000
14.18476608,23.83653959,141.93844681,-83.21841058,87.32402360,26.08529852,5.00000000,43.80000000
14.21409962,23.84724874,141.92217331,-82.99370700,88.56733147,23.80758882,5.00000000,43.80000000
13.73694165,23.66979308,142.34944619,-87.77908840,91.65611394,46.60718564,5.00000000,71.05000000
14.83313722,23.61428968,141.75003442,-81.30006224,88.09658225,-45.29755715,5.00000000,39.45000000
17.68172156,20.43221534,144.48068819,-103.84655091,47.70335957,179.90909921,5.00000000,132.75000000
18.12891085,21.09745629,144.30411704,-105.98448687,35.07840949,121.91786409,5.00000000,88.95000000
28.58713751,20.63357066,139.60340950,-14.49083004,-0.00174910,-44.52356216,5.00000000,31.90000000
-1.93626997,27.53985660,129.47076265,-15.17504956,179.90911166,50.00505781,5.00000000,32.30000000
13.64665415,25.11586201,139.45032890,16.04184390,-61.34194280,-179.90816775,5.00000000,102.35000000
14.72954465,23.63958417,141.45448591,-90.09036167,115.21008106,-73.82569633,6.00000000,32.05000000
14.73254400,23.63719681,141.45640347,-90.07450680,50.25713734,73.79112839,6.00000000,31.65000000
14.68287516,24.18386814,140.01748281,-91.28597528,84.52395366,-0.08400576,6.00000000,68.25000000
14.68427932,24.19207314,139.99529037,-91.51375318,79.67159181,6.95172036,6.00000000,68.75000000
14.29785046,24.66439446,138.08930457,17.25411139,-87.47272402,174.71433869,6.00000000,80.40000000
14.24427682,24.63081274,138.09218202,17.33795660,-82.53180228,-176.09605443,6.00000000,80.55000000
14.50584320,24.56272669,137.63579389,-100.40662337,86.63193501,-176.92911151,7.00000000,74.65000000
15.05783100,25.49466901,117.31882209,-44.62005068,78.90201437,171.51749659,7.00000000,59.40000000
14.36281560,24.51845055,139.07992029,16.40291666,-83.36048830,-178.20075124,7.00000000,84.05000000
14.64946540,24.05162832,141.17975508,-147.99364544,90.91934992,-174.42816889,8.00000000,131.75000000
14.65069380,24.05078084,141.17970087,-144.94429083,102.96231671,-154.76307479,8.00000000,127.50000000
14.64922293,24.05109328,141.17945552,-139.45425446,74.79135070,161.24152269,8.00000000,118.05000000
14.64930723,24.05283422,141.17930935,-139.37055222,107.51281863,-145.56832679,8.00000000,118.35000000
14.64997582,24.05251661,141.17975588,-138.26341452,82.18908015,173.18008099,8.00000000,116.15000000
14.65078509,24.05286159,141.17978770,-133.66727709,101.43103802,-156.28838876,8.00000000,108.50000000
14.65027515,24.05195825,141.17905639,-130.35001615,112.12579445,-133.78210761,8.00000000,102.75000000
14.65046289,24.05158950,141.18003817,-122.15712673,116.69504523,-117.38815294,8.00000000,88.60000000
14.64959890,24.05187331,141.17974051,-130.83469421,81.57387826,-112.26208676,9.00000000,139.80000000
14.64998043,24.05293608,141.17970442,-127.18446081,81.66147456,-104.81401344,9.00000000,137.95000000
