q1,q2,q3,q4,q5,q6,index,obj,alpha_6,a_6,theta_6,d_6,theta_5,a_5,alpha_5,d_5,alpha_4,a_4,theta_4,a_3,alpha_3,theta_3,d_4,beta_3,alpha_2,a_2,theta_2,beta_2,alpha_1,a_1,d_1,theta_1
18.151,12.088,152.693,-84.422,39.322,107.865,a_6,-0.745,-0.650,1.199,1.350,0.048,-0.077,-0.282,0.289,0.059,0.201,-0.158,0.214,-0.016,0.186,0.140,0.061,0.094,-0.053,0.222,0.046,-0.181,-0.078,0.002,0.000,-0.000
15.990,24.252,134.479,-85.865,61.198,45.493,a_6,-0.731,0.159,-1.031,-1.161,-0.157,0.163,-0.282,0.020,0.186,0.216,0.225,0.354,0.107,-0.004,-0.084,-0.017,-0.229,-0.032,-0.000,0.043,-0.246,-0.157,0.007,-0.000,-0.000
17.262,22.703,132.978,-80.401,53.730,50.027,a_6,-0.699,0.254,-1.128,-1.270,-0.154,0.029,-0.381,0.082,0.170,0.110,0.193,0.328,0.156,-0.137,-0.277,-0.032,-0.307,0.001,-0.007,0.085,-0.417,-0.294,0.012,0.000,-0.000
15.528,20.963,143.187,-103.699,127.372,-176.934,a_6,-0.654,-0.567,-1.218,-1.372,-0.177,0.701,0.349,0.225,0.318,0.537,-0.300,0.062,-0.016,-0.080,-0.120,0.013,-0.118,0.086,0.061,0.013,0.177,-0.050,0.009,0.000,-0.000
15.282,22.521,127.597,-72.846,50.922,73.355,a_6,-0.639,0.671,-1.160,-1.307,-0.227,0.090,-0.370,0.378,0.140,0.107,0.172,0.435,0.251,-0.121,-0.289,-0.009,-0.673,0.079,-0.014,0.024,-0.076,-0.082,0.001,-0.000,-0.000
13.979,24.655,139.332,-104.803,107.828,-62.547,a_6,-0.628,0.220,0.722,0.813,-0.210,-0.082,0.238,-0.145,0.476,-0.327,0.224,0.144,0.014,-0.095,-0.063,0.002,-0.093,0.039,0.002,-0.026,0.076,0.076,0.002,-0.000,-0.000
15.905,21.781,137.261,-99.768,48.924,-177.777,a_6,-0.587,-0.196,1.346,1.516,-0.229,-0.690,-0.511,0.560,0.441,-0.760,-0.219,0.570,-0.047,-0.508,-0.060,0.015,0.429,-0.033,0.042,0.053,-0.257,-0.122,-0.008,-0.000,-0.000
14.089,24.786,141.291,-88.266,57.506,-12.311,d_6,-0.707,0.438,-0.252,-0.284,-0.499,-0.329,-0.283,0.265,0.162,-0.274,0.043,-0.045,0.000,0.045,-0.062,0.001,-0.045,0.020,0.002,-0.019,0.044,0.047,0.005,-0.000,-0.000
14.833,25.643,135.386,-126.369,109.002,-9.534,d_6,-0.481,0.321,0.207,0.233,-0.674,0.400,0.108,-0.454,0.696,0.402,0.588,0.599,0.041,-0.039,0.111,-0.001,-0.089,-0.060,-0.003,0.013,-0.060,-0.041,0.001,0.000,-0.000
16.968,22.594,152.334,-118.688,73.169,151.878,d_6,-0.422,-1.554,0.322,0.362,0.515,0.172,-0.183,0.522,0.311,0.109,-0.476,-0.371,0.141,-0.021,-0.002,0.040,-0.264,-0.016,0.042,0.023,0.232,-0.054,0.009,0.000,-0.000
17.483,-1.419,154.698,8.231,-73.023,-18.574,d_6,-0.263,-0.923,-0.048,-0.054,0.576,-0.422,-0.115,-1.301,0.407,-0.327,1.072,0.626,-0.172,-0.325,-0.269,0.049,0.087,0.132,0.448,0.030,-0.288,-0.065,0.009,0.000,-0.000
