q1,q2,q3,q4,q5,q6,index,obj,alpha_6,a_6,theta_6,d_6,theta_5,a_5,alpha_5,d_5,alpha_4,a_4,theta_4,a_3,alpha_3,theta_3,d_4,beta_3,alpha_2,a_2,theta_2,beta_2,alpha_1,a_1,d_1,theta_1
105.418,3.367,136.001,-51.295,91.416,126.618,alpha_6,-4.045,-1.184,-0.030,-0.039,0.013,0.121,-0.004,0.194,-0.002,-0.024,-0.027,0.131,-0.021,0.016,0.035,-0.007,-0.060,-0.003,0.025,0.002,0.022,-0.000,-0.005,0.000,-0.000
105.489,3.190,136.042,-51.122,91.354,132.289,alpha_6,-4.024,-1.205,-0.028,-0.037,0.015,0.117,-0.004,0.202,-0.001,-0.027,-0.028,0.140,-0.022,0.013,0.026,-0.006,-0.055,-0.003,0.029,0.002,0.021,-0.000,-0.004,0.000,-0.000
105.507,3.212,135.883,-50.862,91.158,-223.719,alpha_6,-4.002,-1.218,-0.025,-0.032,0.016,0.111,-0.004,0.209,-0.000,-0.023,-0.027,0.152,-0.024,0.018,0.023,-0.006,-0.043,-0.003,0.029,0.002,0.011,-0.000,-0.004,0.000,-0.000
105.571,3.003,136.006,-50.702,91.331,141.893,alpha_6,-3.972,-1.230,-0.029,-0.038,0.015,0.104,-0.003,0.214,0.000,-0.030,-0.026,0.159,-0.025,0.008,0.016,-0.005,-0.040,-0.003,0.033,0.001,0.009,-0.000,-0.003,0.000,-0.000
105.663,2.875,135.993,-50.479,91.119,-211.944,alpha_6,-3.932,-1.244,-0.026,-0.034,0.017,0.097,-0.002,0.222,0.001,-0.027,-0.025,0.170,-0.027,0.005,0.007,-0.004,-0.027,-0.003,0.036,0.001,0.004,-0.000,-0.002,0.000,-0.000
105.748,2.722,136.084,-50.589,90.731,-207.684,alpha_6,-3.897,-1.258,-0.016,-0.020,0.024,0.095,-0.001,0.231,0.002,-0.020,-0.029,0.174,-0.027,-0.001,0.001,-0.003,-0.019,-0.003,0.039,0.000,0.002,-0.000,-0.001,-0.000,-0.000
106.626,4.092,136.061,-53.842,89.531,231.360,alpha_6,-3.833,-1.098,0.015,0.020,0.058,-0.078,0.011,0.215,0.004,-0.013,-0.061,0.093,-0.014,0.006,0.036,0.012,0.074,0.002,0.017,0.006,0.002,0.002,-0.004,0.000,-0.000
105.978,2.443,136.378,-51.309,90.140,165.388,alpha_6,-3.792,-1.285,-0.012,-0.016,0.041,0.079,0.001,0.253,0.005,0.005,-0.042,0.174,-0.027,-0.016,-0.011,0.001,0.005,-0.001,0.046,-0.000,-0.012,0.000,0.000,-0.000,-0.000
106.187,2.137,136.514,-50.523,89.972,171.431,alpha_6,-3.748,-1.271,-0.012,-0.016,0.032,0.072,0.005,0.247,0.004,0.008,-0.032,0.187,-0.029,-0.012,-0.019,0.005,0.022,-0.001,0.052,0.000,-0.010,0.001,0.001,-0.000,-0.000
106.355,4.274,135.473,-54.466,89.399,201.901,alpha_6,-3.725,-1.267,0.007,0.010,0.081,-0.029,0.006,0.276,0.010,0.016,-0.082,0.117,-0.018,-0.013,0.005,0.008,0.058,0.001,0.015,0.002,0.014,0.001,-0.000,0.000,-0.000
