q1,q2,q3,q4,q5,q6,index,obj,alpha_6,a_6,theta_6,d_6,a_5,alpha_5,theta_5,a_4,d_5,alpha_4,beta_3,theta_4,alpha_3,a_3,theta_3,beta_2,alpha_2,a_2,d_4,theta_2,alpha_1,a_1,d_1,theta_1
14.716,23.986,141.223,-75.396,89.248,-0.021,0.000,-0.026,-0.176,-0.005,-0.005,0.012,-0.001,-0.018,0.013,0.000,0.001,0.002,-0.006,-0.003,-0.005,0.000,-0.010,0.007,0.003,0.000,-0.000,-0.001,-0.001,0.001,-0.000,-0.000
14.880,23.951,141.195,-75.698,89.514,-55.134,0.000,-0.172,-0.435,0.011,0.010,-0.002,0.002,0.030,-0.030,-0.005,-0.003,-0.008,0.013,0.011,0.009,-0.002,0.030,0.005,-0.004,-0.000,0.002,0.003,0.000,-0.003,0.000,-0.000
14.654,23.941,141.203,-75.547,91.341,5.336,0.000,-0.025,-0.193,-0.002,-0.002,-0.024,0.001,0.023,0.030,0.001,0.001,0.008,-0.014,-0.001,0.001,0.000,-0.002,0.015,0.005,-0.000,-0.000,-0.000,-0.000,0.000,0.000,-0.000
14.847,23.899,141.374,-76.156,89.341,-70.747,0.000,-0.332,-0.598,0.005,0.004,0.002,0.002,0.040,-0.040,-0.010,-0.002,0.003,0.008,0.008,0.029,-0.000,0.026,-0.000,-0.006,0.001,0.002,0.002,0.000,-0.003,0.000,-0.000
14.538,23.984,141.249,-75.926,90.060,25.401,0.000,-0.177,-0.434,-0.006,-0.005,0.000,-0.000,0.006,0.040,-0.001,-0.001,0.006,-0.006,0.003,-0.008,-0.000,0.015,0.008,0.003,-0.001,-0.000,0.001,0.001,-0.002,0.000,-0.000
14.500,23.897,141.539,-76.660,88.560,-88.083,0.000,-0.529,-0.761,0.039,0.034,0.000,-0.004,0.050,-0.050,-0.016,0.003,-0.003,-0.004,-0.003,0.024,0.003,-0.008,-0.035,-0.006,0.003,-0.002,-0.002,-0.000,0.002,0.000,-0.000
14.289,23.967,141.206,-76.038,90.190,38.963,0.000,-0.295,-0.569,0.001,0.001,0.000,-0.001,0.020,0.050,-0.003,-0.005,0.000,-0.011,0.011,-0.007,-0.002,0.050,0.001,0.004,-0.002,-0.001,0.004,0.002,-0.006,0.000,-0.000
14.556,24.033,141.228,-75.421,88.809,-25.528,1.000,0.016,-0.100,0.007,0.008,-0.019,-0.002,0.021,-0.008,-0.001,0.002,0.002,-0.001,-0.003,0.004,0.001,-0.013,-0.006,-0.001,0.001,-0.000,-0.002,0.001,0.002,0.000,-0.000
15.205,23.423,141.324,-75.204,83.086,-135.646,1.000,1.372,-1.065,0.121,0.136,-0.031,0.001,0.137,-0.017,-0.008,-0.002,0.042,0.047,0.052,0.036,-0.008,0.054,0.021,-0.017,0.009,0.009,0.005,0.001,-0.003,0.000,-0.000
14.675,23.200,140.033,-73.237,90.487,-165.188,1.000,1.701,-1.227,-0.017,-0.019,0.000,0.001,0.114,0.001,-0.000,0.000,0.003,0.086,0.116,-0.026,-0.033,0.042,-0.032,-0.013,0.014,0.000,0.000,0.000,0.000,-0.000,-0.000
14.574,22.960,141.344,-75.176,92.731,162.593,1.000,1.751,-1.268,-0.060,-0.067,0.000,0.002,0.112,0.035,-0.014,0.001,-0.010,-0.002,0.083,-0.011,-0.015,0.054,-0.012,-0.003,0.017,-0.001,0.000,-0.000,-0.000,0.000,-0.000
14.822,22.697,141.155,-73.870,90.122,179.909,1.000,1.753,-1.258,-0.020,-0.022,0.000,0.003,0.115,0.020,-0.000,0.000,0.013,0.036,0.115,0.005,-0.022,0.062,-0.009,-0.013,0.022,0.003,0.000,0.001,0.000,0.000,-0.000
14.710,22.737,141.338,-74.479,91.760,171.616,1.000,1.763,-1.267,-0.048,-0.054,0.000,0.003,0.114,0.028,-0.007,0.001,-0.001,0.013,0.103,-0.002,-0.019,0.061,-0.008,-0.008,0.021,0.001,-0.000,0.000,0.000,0.000,-0.000
14.570,23.073,141.424,-75.588,92.709,153.895,1.000,1.720,-1.262,-0.056,-0.063,0.000,0.002,0.109,0.044,-0.018,0.001,-0.011,-0.014,0.070,-0.013,-0.011,0.048,-0.002,0.001,0.015,-0.001,0.000,-0.000,-0.001,0.000,-0.000
14.959,23.611,141.637,-82.549,56.115,45.720,2.000,-0.161,-0.021,-0.009,-0.530,0.010,-0.010,0.057,0.024,-0.058,0.112,0.015,0.027,-0.026,-0.004,0.000,-0.031,-0.015,0.001,0.007,0.003,0.011,-0.034,0.001,0.000,-0.000
14.671,23.476,141.690,-81.979,106.200,-43.802,2.000,0.043,-0.019,0.000,0.248,0.009,0.000,0.049,0.000,-0.058,0.103,-0.021,0.001,-0.036,-0.005,-0.000,-0.044,-0.019,0.015,0.008,0.000,0.001,-0.002,0.000,0.000,-0.000
14.822,22.540,142.588,-78.197,98.865,-28.413,2.000,0.086,-0.009,-0.053,0.113,0.004,-0.059,-0.001,0.015,-0.037,0.039,-0.013,-0.004,-0.061,-0.021,-0.001,-0.074,-0.030,0.029,0.024,0.002,0.005,-0.015,0.000,0.000,-0.000
