q1,q2,q3,q4,q5,q6,theta_6,d_6,theta_5,theta_4,a_3,d_4,a_2,theta_3,theta_2,a_1
0.000,36.100,96.800,-90.000,104.935,75.644,0.030,0.000,-0.000,-0.000,0.000,-0.000,0.000,-0.000,-0.000,0.000
0.000,36.100,96.800,-90.000,105.222,80.937,0.030,0.000,-0.000,-0.000,0.000,0.000,0.000,-0.000,-0.000,0.000
0.000,36.100,96.800,-90.000,105.326,83.878,0.030,0.000,-0.000,-0.000,0.000,0.000,0.000,-0.000,-0.000,0.000
0.000,36.100,96.800,-90.000,105.414,89.390,0.030,0.000,-0.000,-0.000,0.000,0.000,0.000,-0.000,-0.000,0.000
0.000,36.100,96.800,-90.000,105.345,95.578,0.030,0.000,-0.000,-0.000,0.000,0.000,0.000,-0.000,-0.000,0.000
0.000,36.100,96.800,-90.000,74.839,-79.593,-0.030,0.000,-0.000,-0.000,0.000,0.000,0.000,-0.000,-0.000,0.000
0.000,36.100,96.800,-90.000,74.637,-85.343,-0.030,0.000,-0.000,-0.000,0.000,0.000,0.000,-0.000,-0.000,0.000
0.000,36.100,96.800,-90.000,74.585,-90.031,-0.030,0.000,-0.000,-0.000,0.000,0.000,0.000,-0.000,-0.000,0.000
0.000,36.100,96.800,-90.000,74.636,-94.776,-0.030,0.000,-0.000,-0.000,0.000,-0.000,0.000,-0.000,-0.000,0.000
0.000,36.100,96.800,-90.000,74.835,-100.507,-0.030,0.000,-0.000,-0.000,0.000,0.000,0.000,-0.000,-0.000,0.000
