q1,q2,q3,q4,q5,q6,index,obj,alpha_6,theta_6,a_6,d_6,theta_5,a_5,alpha_5,d_5,alpha_4,a_4,theta_4,alpha_3,a_3,theta_3,d_4,beta_3,alpha_2,a_2,theta_2,beta_2,alpha_1,a_1,d_1,theta_1
-70.496,79.385,0.000,-135.093,180.000,-359.991,a_1,-1.662,0.047,-0.686,-0.524,-0.174,-2.842,-0.790,-0.975,0.320,-2.356,1.024,-0.312,-1.266,1.803,-4.741,-0.121,-0.906,2.745,0.816,2.493,1.979,1.459,1.924,0.000,-0.000
-71.139,78.293,0.320,-142.670,180.000,-358.114,a_1,-1.660,0.121,-0.523,-0.400,-0.171,-2.474,-0.691,-0.582,0.213,-2.743,0.911,-0.710,-1.343,1.801,-5.041,-0.126,-0.876,2.610,0.824,2.402,1.863,1.396,1.927,0.000,-0.000
-70.996,75.910,0.000,-146.643,180.000,-29.466,a_1,-1.659,-0.050,-0.894,-0.683,-0.210,-2.292,-0.630,-0.300,0.155,-2.939,0.891,-0.289,-1.238,1.824,-4.357,-0.123,-0.913,2.633,0.785,3.035,2.020,1.630,1.905,-0.000,-0.000
-81.825,75.768,0.000,-92.315,-93.735,-87.759,a_1,-1.650,-1.506,0.008,0.006,0.724,-1.922,-0.192,-3.126,0.920,0.693,1.267,-0.675,-1.263,1.788,-4.537,-0.376,-2.196,0.740,0.802,2.827,-1.982,0.853,1.882,0.000,-0.000
-70.498,83.116,0.016,-123.107,180.000,351.910,a_1,-1.643,-0.188,-0.929,-0.709,-0.158,-3.365,-0.924,-1.801,0.537,-1.592,1.143,0.123,-1.210,1.787,-4.712,-0.114,-0.832,2.882,0.831,2.186,1.996,1.355,1.934,-0.000,-0.000
-86.009,71.196,0.000,-101.356,-94.669,271.349,a_1,-1.639,-1.481,-0.335,-0.256,0.686,-2.190,-0.274,-2.209,0.683,0.382,1.255,-1.455,-1.273,1.792,-4.746,-0.378,-1.869,0.361,0.792,3.062,-2.290,0.728,1.868,0.000,-0.000
-70.968,77.989,0.000,-120.782,180.000,37.210,a_1,-1.635,0.218,-0.266,-0.204,-0.184,-3.265,-0.923,-1.645,0.510,-1.659,1.159,-0.463,-1.292,1.809,-4.739,-0.122,-0.878,2.661,0.810,2.617,1.956,1.483,1.920,0.000,-0.000
-71.345,71.922,0.000,-138.729,180.000,17.788,a_1,-1.634,0.293,-0.242,-0.185,-0.230,-2.474,-0.705,-0.469,0.204,-2.697,0.981,-0.729,-1.291,1.837,-4.360,-0.129,-0.952,2.467,0.765,3.377,1.990,1.729,1.892,0.000,-0.000
-69.906,81.099,0.000,-135.846,180.000,287.560,a_1,-1.633,-0.696,-0.777,-0.594,-0.163,-2.916,-0.779,-0.929,0.325,-2.480,1.012,-0.257,-1.263,1.794,-4.866,-0.105,-0.811,2.891,0.829,2.263,2.165,1.413,1.932,-0.000,-0.000
-69.943,86.145,0.097,-128.806,180.000,-1.424,a_1,-1.633,-0.139,-0.813,-0.621,-0.112,-3.194,-0.878,-1.611,0.470,-1.879,1.060,-0.231,-1.296,1.759,-5.364,-0.114,-0.832,2.941,0.871,1.502,1.909,1.123,1.953,0.000,-0.000
