q1,q2,q3,q4,q5,q6,index,obj,alpha_6,a_6,theta_6,d_6,theta_5,a_5,alpha_5,d_5,alpha_4,a_4,theta_4,alpha_3,a_3,theta_3,d_4,beta_3,alpha_2,a_2,theta_2,beta_2,alpha_1,a_1,d_1,theta_1
105.931,5.065,-25.780,109.293,71.275,341.070,beta_3,-21.201,0.006,-0.279,-0.366,-0.065,-1.072,-0.279,0.015,0.022,0.558,-0.012,-0.254,1.966,-0.247,0.001,0.000,-7.404,-0.000,-0.000,0.000,0.000,-0.000,-0.000,-0.000,-0.000
105.930,5.063,-26.215,109.941,62.285,-339.732,beta_3,-21.123,0.262,-0.078,-0.101,-0.125,-0.847,-0.401,0.110,0.019,0.450,-0.010,-0.178,1.970,-0.200,0.000,0.000,-6.991,-0.000,-0.000,0.000,0.000,-0.000,-0.000,-0.000,-0.000
105.930,5.060,-23.514,106.899,67.318,2.092,beta_3,-21.105,0.133,-0.200,-0.262,-0.087,-0.913,-0.340,-0.021,0.024,0.447,-0.012,-0.292,1.961,-0.210,-0.000,0.000,-7.058,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000
105.930,5.060,-17.786,99.016,59.621,-328.935,beta_3,-20.687,0.308,-0.087,-0.114,-0.139,-0.878,-0.461,0.057,0.060,0.309,-0.025,-0.237,1.942,-0.282,0.000,0.000,-6.833,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000
105.930,5.060,-13.997,97.319,63.735,-340.163,beta_3,-20.679,0.244,-0.146,-0.191,-0.115,-0.822,-0.403,0.069,0.026,0.317,-0.011,-0.177,1.927,-0.336,0.000,0.000,-6.701,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000
105.930,5.060,-24.892,91.725,82.904,268.715,beta_3,-20.643,-0.526,0.051,0.067,0.085,-1.390,-0.120,0.025,0.296,0.018,-0.104,-0.208,1.962,-0.311,0.000,-0.000,-7.549,-0.000,-0.000,-0.000,0.000,0.000,0.000,0.000,-0.000
105.930,5.060,-7.458,93.145,72.112,-356.873,beta_3,-20.535,0.125,-0.169,-0.221,-0.067,-0.659,-0.283,0.086,-0.012,0.268,0.005,-0.044,1.896,-0.382,0.000,0.000,-6.320,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,0.000,-0.000
105.929,5.061,-28.260,109.289,63.945,330.939,beta_3,-20.530,-0.040,-0.393,-0.515,-0.119,-1.588,-0.381,0.009,0.061,0.739,-0.031,-0.497,1.962,-0.240,0.000,-0.000,-8.322,-0.000,-0.000,-0.000,0.000,0.000,0.000,-0.000,-0.000
105.931,5.061,-29.995,115.285,50.048,20.707,beta_3,-20.520,0.525,-0.157,-0.206,-0.280,-1.357,-0.516,0.390,-0.005,0.865,0.003,-0.239,1.970,-0.270,0.000,0.000,-8.122,-0.000,-0.000,0.000,0.000,-0.000,-0.000,0.000,-0.000
105.930,5.060,-4.484,77.997,92.840,284.235,beta_3,-20.335,-0.240,0.007,0.010,0.049,-0.735,0.049,0.144,0.193,-0.020,-0.048,0.062,1.879,-0.444,0.000,0.000,-6.232,-0.000,-0.000,-0.000,0.000,-0.000,-0.000,-0.000,-0.000
105.925,5.077,-28.974,107.269,50.135,30.822,beta_3,-20.282,0.458,-0.148,-0.194,-0.235,-1.368,-0.564,-0.007,0.104,0.520,-0.050,-0.587,1.969,-0.112,0.002,-0.000,-7.834,-0.001,-0.000,-0.000,0.001,0.001,0.000,0.000,-0.000
105.930,5.060,-14.093,95.289,65.067,351.891,beta_3,-20.279,0.085,-0.330,-0.431,-0.109,-1.271,-0.389,-0.122,0.061,0.411,-0.022,-0.467,1.920,-0.424,-0.000,-0.000,-7.432,-0.000,-0.000,-0.000,-0.000,-0.000,0.000,0.000,-0.000
105.930,5.060,-29.948,106.020,53.166,-296.140,beta_3,-20.255,0.350,0.285,0.373,-0.155,-0.888,-0.539,0.155,0.138,0.263,-0.070,-0.124,1.980,-0.157,-0.000,-0.000,-6.935,0.000,0.000,-0.000,-0.000,0.000,0.000,-0.000,-0.000
105.930,5.060,-5.517,72.300,90.817,-89.553,beta_3,-20.139,-0.298,0.135,0.176,0.057,-0.915,0.014,0.016,0.310,-0.177,-0.056,-0.090,1.883,-0.458,-0.000,0.000,-6.491,-0.000,0.000,-0.000,-0.000,-0.000,-0.000,0.000,-0.000
