q1,q2,q3,q4,q5,q6,type,block_condition_number
14.530,24.850,141.040,-99.919,74.000,119.906,WRIST_BLOCK,7.674
14.530,24.850,141.040,-96.850,83.982,-130.047,WRIST_BLOCK,7.674
14.530,24.850,141.040,-90.822,62.741,-23.209,WRIST_BLOCK,7.674
14.530,24.850,141.040,-84.427,90.573,32.022,WRIST_BLOCK,7.674
14.530,24.850,141.040,-90.822,62.741,-23.209,WRIST_BLOCK,7.674
14.530,24.850,141.040,-84.572,82.421,-74.216,WRIST_BLOCK,7.674
14.530,24.850,141.040,-93.240,101.829,-104.303,WRIST_BLOCK,7.674
14.530,24.850,141.040,-89.567,95.697,94.615,WRIST_BLOCK,7.674
14.530,24.850,141.040,-84.572,82.421,-74.216,WRIST_BLOCK,7.674
14.530,24.850,141.040,-103.607,83.274,137.477,WRIST_BLOCK,7.674
14.530,24.850,141.040,-89.567,95.697,94.615,WRIST_BLOCK,7.674
14.530,24.850,141.040,-103.211,72.000,118.450,WRIST_BLOCK,7.674
14.530,24.850,141.040,-115.010,84.675,163.739,WRIST_BLOCK,7.674
14.530,24.850,141.040,-95.917,45.681,40.901,WRIST_BLOCK,7.674
14.530,24.850,141.040,-93.275,84.128,66.528,WRIST_BLOCK,7.674
14.530,24.850,141.040,-85.672,105.374,-4.049,WRIST_BLOCK,7.674
14.530,24.850,141.040,-105.998,101.644,-171.500,WRIST_BLOCK,7.674
14.530,24.850,141.040,-87.909,95.774,-78.486,WRIST_BLOCK,7.674
14.530,24.850,141.040,-86.151,91.848,50.517,WRIST_BLOCK,7.674
14.530,24.850,141.040,-90.822,62.741,-23.209,WRIST_BLOCK,7.674
14.530,24.850,141.040,-109.610,83.853,132.279,WRIST_BLOCK,7.674
14.530,24.850,141.040,-105.766,101.800,-122.599,WRIST_BLOCK,7.674
14.530,24.850,141.040,-113.292,81.545,171.767,WRIST_BLOCK,7.674
14.530,24.850,141.040,-107.229,126.618,-73.381,WRIST_BLOCK,7.674
14.530,24.850,141.040,-89.567,95.697,94.615,WRIST_BLOCK,7.674
14.530,24.850,141.040,-102.701,103.424,-117.311,WRIST_BLOCK,7.674
14.530,24.850,141.040,-100.176,42.586,43.805,WRIST_BLOCK,7.674
14.530,24.850,141.040,-115.010,84.675,163.739,WRIST_BLOCK,7.674
14.530,24.850,141.040,-103.211,72.000,118.450,WRIST_BLOCK,7.674
14.530,24.850,141.040,-85.672,105.374,-4.049,WRIST_BLOCK,7.674
14.530,24.850,141.040,-115.890,88.760,-157.989,WRIST_BLOCK,7.674
14.530,24.850,141.040,-98.332,105.385,157.601,WRIST_BLOCK,7.674
14.530,24.850,141.040,-87.118,84.900,32.564,WRIST_BLOCK,7.674
14.530,24.850,141.040,-113.292,81.545,171.767,WRIST_BLOCK,7.674
14.530,24.850,141.040,-103.686,76.518,130.535,WRIST_BLOCK,7.674
14.530,24.850,141.040,-114.672,74.775,149.594,WRIST_BLOCK,7.674
14.530,24.850,141.040,-100.176,42.586,43.805,WRIST_BLOCK,7.674
14.530,24.850,141.040,-103.133,61.704,144.744,WRIST_BLOCK,7.674
14.530,24.850,141.040,-86.151,91.848,50.517,WRIST_BLOCK,7.674
14.530,24.850,141.040,-98.411,79.915,100.869,WRIST_BLOCK,7.674
14.530,24.850,141.040,-87.909,95.774,-78.486,WRIST_BLOCK,7.674
14.530,24.850,141.040,-83.401,67.577,-20.225,WRIST_BLOCK,7.674
14.530,24.850,141.040,-101.574,98.185,133.325,WRIST_BLOCK,7.674
14.530,24.850,141.040,-87.675,72.914,-103.316,WRIST_BLOCK,7.674
14.530,24.850,141.040,-90.822,62.741,-23.209,WRIST_BLOCK,7.674
14.530,24.850,141.040,-85.674,67.060,-35.264,WRIST_BLOCK,7.674
14.530,24.850,141.040,-99.919,74.000,119.906,WRIST_BLOCK,7.674
14.530,24.850,141.040,-92.587,91.326,-117.637,WRIST_BLOCK,7.674
14.530,24.850,141.040,-85.674,67.060,-35.264,WRIST_BLOCK,7.674
14.530,24.850,141.040,-85.672,105.374,-4.049,WRIST_BLOCK,7.674
