q1,q2,q3,q4,q5,q6,index,obj,a_6,d_6,alpha_6,a_5,theta_6,theta_5,a_4,alpha_5,d_5,alpha_4,beta_3,theta_4,alpha_3,a_3,theta_3,beta_2,alpha_2,a_2,d_4,theta_2,alpha_1,a_1,d_1,theta_1
14.650,24.050,141.180,-130.428,85.688,179.222,8.000,-8.322,0.043,0.205,-0.478,-0.073,0.049,0.108,-0.201,0.387,0.900,-0.000,-0.000,0.000,-0.000,-0.000,-0.000,0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,0.000,-0.000
14.786,23.924,141.548,-95.201,111.217,-70.531,8.000,-1.221,0.277,0.030,-0.067,0.368,0.312,-0.134,-0.058,0.087,0.335,-0.175,0.016,-0.034,0.016,0.000,-0.005,-0.015,-0.003,0.001,0.001,0.006,-0.017,-0.000,-0.000,-0.000
15.015,23.497,107.114,19.190,83.890,-5.797,8.000,-0.466,-0.308,0.259,0.288,-0.107,-0.347,-0.091,-0.256,1.320,-0.960,0.287,-1.508,0.831,0.042,0.578,-0.064,-0.057,0.010,-0.003,-0.004,0.012,-0.039,0.001,0.000,-0.000
14.668,25.952,120.458,94.077,-83.229,-179.248,8.000,-0.391,0.070,0.259,-0.574,-0.116,0.079,-0.010,1.666,0.233,0.957,0.008,0.292,2.111,-0.437,-0.113,0.092,0.053,-0.041,-0.031,0.000,0.001,-0.002,0.000,0.000,-0.000
14.836,25.405,120.829,94.262,-83.285,179.909,8.000,-0.391,0.069,0.259,-0.574,-0.117,0.078,0.004,1.666,0.232,0.957,0.000,0.304,2.110,-0.443,-0.114,0.070,0.041,-0.036,-0.022,0.002,0.006,-0.016,0.000,0.000,-0.000
18.102,36.623,-130.861,125.474,84.555,95.340,8.000,-0.270,-0.197,0.259,-0.771,-0.050,-0.222,1.200,-0.247,-0.733,0.944,0.111,-2.451,-1.230,0.130,1.495,0.515,0.450,-0.421,-0.205,0.042,0.116,-0.303,0.009,-0.000,-0.000
11.105,43.092,-130.615,120.979,92.521,107.484,8.000,-0.253,-0.209,0.246,-0.757,0.000,-0.236,1.243,-0.251,-0.423,0.902,0.318,-2.637,-0.888,-0.047,1.588,0.532,0.427,-0.140,-0.324,-0.042,-0.101,0.325,-0.007,-0.000,-0.000
29.380,31.956,-131.780,136.239,64.040,81.996,8.000,-0.223,-0.099,0.259,-0.633,-0.266,-0.111,0.827,-0.244,-0.877,0.880,-0.445,-2.475,-1.395,0.560,1.393,0.661,0.638,-0.791,-0.109,0.176,0.626,-1.231,0.043,-0.000,-0.000
15.435,34.877,-117.179,113.018,92.155,-179.909,8.000,-0.213,0.073,0.259,-0.573,0.046,0.083,0.278,-0.261,0.237,0.954,-0.126,-3.956,-0.256,0.139,1.658,0.429,0.459,-0.192,-0.181,0.010,0.026,-0.069,0.000,0.000,-0.000
9.777,31.589,-85.828,-66.232,-91.813,-132.447,8.000,-0.188,0.314,0.259,-0.662,-0.163,0.353,-0.878,1.675,-0.111,0.951,0.268,-3.459,2.448,-0.902,1.849,0.220,0.129,0.088,-0.128,-0.060,-0.134,0.438,-0.006,0.000,-0.000
9.004,40.963,-96.962,-64.463,-92.069,-133.585,8.000,-0.187,0.307,0.259,-0.658,-0.165,0.346,-0.867,1.675,-0.095,0.951,0.284,-3.458,2.433,-0.836,1.843,0.407,0.372,0.056,-0.290,-0.069,-0.151,0.508,-0.006,0.000,-0.000
54.095,18.109,-159.855,-179.909,54.951,-16.704,8.000,-0.187,0.117,0.259,-0.901,-0.138,0.132,-0.347,-0.111,-1.896,0.956,-1.781,0.397,-1.822,1.226,0.607,0.300,0.558,-0.744,0.162,0.425,2.298,-2.816,0.217,0.000,-0.000
8.876,33.540,-91.250,-62.873,-95.904,179.909,8.000,-0.173,0.208,0.259,-0.574,-0.116,0.234,0.006,1.675,0.236,0.954,-0.006,-4.336,2.088,-0.697,1.839,0.218,0.227,0.142,-0.159,-0.071,-0.159,0.520,-0.001,0.000,-0.000
15.732,44.691,73.426,-179.909,-84.372,-177.662,8.000,-0.164,-0.286,0.242,-0.037,-0.121,-0.322,-0.044,1.685,3.472,-0.939,0.488,-1.682,3.630,0.299,0.787,2.848,-0.619,-1.170,0.056,-0.013,0.036,-0.118,0.002,0.000,-0.000
67.615,12.653,-159.855,-161.392,39.844,-32.253,8.000,-0.150,0.011,0.259,-0.903,-0.301,0.012,-0.891,-0.038,-1.668,0.893,-1.943,1.375,-1.318,0.683,0.434,-0.307,0.486,-0.450,0.259,0.500,3.427,-3.357,0.385,0.000,-0.000
0.019,44.691,-102.373,-68.713,-110.745,159.017,8.000,-0.147,0.292,0.259,-0.600,-0.260,0.329,0.148,1.688,0.351,0.845,0.073,-4.415,1.990,-0.544,1.828,0.163,0.335,0.710,-0.343,-0.180,-0.299,1.341,0.012,0.000,-0.000
82.066,33.485,-140.790,162.868,45.164,-179.909,8.000,-0.133,0.068,0.259,-0.574,-0.098,0.077,0.032,0.027,0.230,0.958,-0.726,-1.104,0.088,0.899,0.815,1.615,1.954,-2.158,0.135,0.581,4.776,-3.590,0.528,0.000,-0.000
3.908,31.663,-73.168,-78.108,-101.376,66.739,8.000,-0.130,-0.068,0.259,-0.758,-0.046,-0.077,1.124,1.664,-1.292,0.960,-0.069,-5.488,3.635,-1.129,1.853,-0.040,0.118,0.413,-0.120,-0.132,-0.260,0.978,0.014,0.000,-0.000
3.044,32.867,-73.401,-79.081,-101.827,58.799,8.000,-0.130,-0.066,0.259,-0.779,-0.056,-0.074,1.038,1.664,-1.425,0.960,0.002,-5.391,3.763,-1.129,1.851,-0.019,0.137,0.459,-0.139,-0.142,-0.272,1.059,0.015,0.000,-0.000
95.142,25.105,-139.000,-179.909,41.205,179.909,8.000,-0.124,0.125,0.259,-0.573,-0.117,0.140,0.004,0.048,0.229,0.959,-0.819,-0.587,0.123,0.498,0.605,1.189,1.841,-1.508,0.267,0.620,6.013,-3.504,0.671,0.000,-0.000
17.518,-26.506,91.598,-179.909,-82.778,-64.351,8.000,-0.117,0.285,0.206,-0.725,-0.123,0.321,-0.973,1.716,-1.173,0.900,0.010,-1.385,3.935,-2.112,0.641,-5.241,-0.681,1.780,0.531,0.032,0.103,-0.275,0.006,0.000,-0.000
18.579,-24.466,91.525,-179.909,-81.469,-71.802,8.000,-0.117,0.287,0.188,-0.669,-0.128,0.323,-1.029,1.731,-0.981,0.876,0.022,-1.376,3.903,-1.963,0.653,-5.068,-0.601,1.777,0.501,0.042,0.148,-0.386,0.009,0.000,-0.000
67.617,-10.108,120.025,-179.909,-44.365,-100.828,8.000,-0.110,0.004,0.259,-0.695,-0.436,0.004,-1.608,1.366,-0.440,0.832,-0.239,0.716,2.763,-0.423,0.573,-4.096,-0.180,1.644,0.287,0.295,3.292,-3.517,0.558,0.000,-0.000
61.914,-17.226,113.934,-179.909,-50.300,-92.299,8.000,-0.108,0.105,0.219,-0.672,-0.345,0.118,-1.461,1.469,-0.576,0.844,-0.484,0.301,3.099,-0.789,0.617,-4.192,-0.079,2.285,0.321,0.331,3.033,-3.473,0.418,0.000,-0.000
112.220,18.577,-159.855,85.124,-42.979,129.655,8.000,-0.106,-0.108,0.259,-0.645,-0.045,-0.122,0.963,1.386,-0.168,0.961,-1.270,0.209,1.858,0.955,0.209,0.626,1.938,-0.833,0.364,0.615,7.539,-2.982,0.868,0.000,-0.000
109.000,24.834,-158.617,73.889,-39.767,135.319,8.000,-0.104,-0.115,0.259,-0.655,0.003,-0.130,0.971,1.380,-0.075,0.952,-1.210,-0.236,1.780,1.269,0.285,1.286,2.238,-1.321,0.334,0.627,7.268,-3.110,0.826,0.000,-0.000
3.881,-34.083,99.789,-179.909,-96.915,179.909,8.000,-0.102,0.158,0.195,-0.450,-0.042,0.178,0.150,1.732,0.408,0.895,0.013,-1.867,2.406,-3.286,0.651,-6.750,-1.341,1.472,0.547,-0.119,-0.278,1.089,0.007,-0.000,-0.000
