q1,q2,q3,q4,q5,q6,index,obj,alpha_6,theta_6,a_6,d_6,a_5,alpha_5,theta_5,a_4,d_5,alpha_4,beta_3,theta_4,alpha_3,a_3,theta_3,beta_2,alpha_2,a_2,d_4,theta_2,alpha_1,a_1,d_1,theta_1
14.716,23.986,141.223,-75.396,89.248,-0.021,0.000,-0.026,-0.176,-0.005,-0.005,0.012,-0.001,-0.018,0.013,0.000,0.001,0.002,-0.006,-0.003,-0.005,0.000,-0.010,0.007,0.003,0.000,-0.000,-0.001,-0.001,0.001,-0.000,-0.000
14.880,23.951,141.195,-75.698,89.514,-55.134,0.000,-0.172,-0.435,0.011,0.010,-0.002,0.002,0.030,-0.030,-0.005,-0.003,-0.008,0.013,0.011,0.009,-0.002,0.030,0.005,-0.004,-0.000,0.002,0.003,0.000,-0.003,0.000,-0.000
14.654,23.941,141.203,-75.547,91.341,5.336,0.000,-0.025,-0.193,-0.002,-0.002,-0.024,0.001,0.023,0.030,0.001,0.001,0.008,-0.014,-0.001,0.001,0.000,-0.002,0.015,0.005,-0.000,-0.000,-0.000,-0.000,0.000,0.000,-0.000
14.847,23.899,141.374,-76.156,89.341,-70.747,0.000,-0.332,-0.598,0.005,0.004,0.002,0.002,0.040,-0.040,-0.010,-0.002,0.003,0.008,0.008,0.029,-0.000,0.026,-0.000,-0.006,0.001,0.002,0.002,0.000,-0.003,0.000,-0.000
14.538,23.984,141.249,-75.926,90.060,25.401,0.000,-0.177,-0.434,-0.006,-0.005,0.000,-0.000,0.006,0.040,-0.001,-0.001,0.006,-0.006,0.003,-0.008,-0.000,0.015,0.008,0.003,-0.001,-0.000,0.001,0.001,-0.002,0.000,-0.000
14.500,23.897,141.539,-76.660,88.560,-88.083,0.000,-0.529,-0.761,0.039,0.034,0.000,-0.004,0.050,-0.050,-0.016,0.003,-0.003,-0.004,-0.003,0.024,0.003,-0.008,-0.035,-0.006,0.003,-0.002,-0.002,-0.000,0.002,0.000,-0.000
14.289,23.967,141.206,-76.038,90.190,38.963,0.000,-0.295,-0.569,0.001,0.001,0.000,-0.001,0.020,0.050,-0.003,-0.005,0.000,-0.011,0.011,-0.007,-0.002,0.050,0.001,0.004,-0.002,-0.001,0.004,0.002,-0.006,0.000,-0.000
13.895,24.254,141.544,-79.987,79.364,-12.712,3.000,1,0.161,-0.096,-0.086,-0.168,-0.090,0.090,-0.090,0.009,0.053,-0.051,-0.057,-0.088,0.090,0.000,-0.090,0.090,0.027,0.004,0.001,-0.028,0.062,0.011,0.000,-0.000
13.998,23.854,141.456,-79.779,107.166,-46.496,3.000,1,-0.400,-0.304,-0.270,0.154,0.090,-0.090,-0.090,-0.071,0.024,-0.082,-0.012,-0.014,-0.037,0.002,-0.031,-0.090,0.000,0.005,-0.010,-0.009,0.012,0.004,-0.000,-0.000
15.643,23.895,141.633,-80.113,99.415,-26.030,3.000,1,0.250,0.095,0.085,-0.147,0.089,0.090,0.090,0.015,0.064,0.065,-0.026,0.090,-0.077,0.002,-0.090,-0.090,-0.027,0.006,-0.003,0.020,-0.090,0.013,0.000,-0.000
14.688,23.480,141.736,-78.528,71.510,8.759,4.000,1,0.260,-0.400,-0.355,-0.164,-0.274,0.070,-0.070,0.011,0.053,-0.028,-0.070,0.021,0.018,0.000,-0.070,-0.036,0.014,0.002,-0.000,0.002,-0.005,-0.000,0.000,-0.000
