q1,q2,q3,q4,q5,q6,index,a_6,alpha_6,theta_6,d_6,a_5,alpha_5,d_5,theta_5,a_4,alpha_4,d_4,theta_4,a_3,alpha_3,beta_3,theta_3,a_2,alpha_2,beta_2,theta_2,a_1,alpha_1,d_1,theta_1
16.880,24.979,135.172,-72.451,95.738,-52.815,0.000,0.620,-0.003,0.031,0.040,-0.004,0.005,-0.012,-0.009,0.030,-0.029,-0.026,0.007,0.031,-0.028,-0.003,0.015,0.004,-0.001,-0.012,0.002,-0.021,-0.004,0.000,-0.000
14.681,21.420,139.493,-68.550,67.104,25.443,0.000,0.620,-0.009,0.040,0.040,-0.040,-0.002,-0.004,0.001,0.040,-0.004,-0.005,0.011,-0.031,-0.003,0.001,0.006,0.039,-0.001,-0.004,-0.000,-0.001,0.000,-0.000,-0.000
19.071,25.159,134.719,-75.313,92.302,-74.872,0.000,0.620,-0.006,-0.004,0.040,0.012,0.033,0.034,-0.035,0.026,-0.036,-0.019,0.035,0.013,-0.040,0.020,0.037,-0.019,-0.012,-0.027,0.011,-0.040,-0.027,0.000,-0.000
17.027,23.314,141.842,-75.786,54.761,23.625,0.000,0.620,-0.000,-0.006,0.040,-0.038,0.001,0.001,0.001,-0.011,0.010,0.036,-0.004,0.037,0.013,-0.004,0.002,0.009,-0.001,0.015,0.001,-0.000,-0.001,0.000,-0.000
17.712,25.913,136.574,-80.057,94.171,-63.396,0.000,0.620,-0.012,0.018,0.040,0.029,0.015,0.038,-0.022,0.037,-0.035,-0.013,0.020,-0.008,-0.020,0.004,0.032,-0.016,-0.005,-0.006,0.006,-0.037,-0.014,-0.000,-0.000
12.642,24.724,135.827,-71.794,76.922,22.192,0.000,-0.620,0.004,-0.025,-0.040,0.007,0.002,0.004,0.007,0.022,0.012,0.040,0.001,0.040,0.014,-0.008,0.003,0.013,0.001,0.021,-0.001,0.001,0.005,0.000,-0.000
17.258,21.841,140.853,-70.350,54.655,24.328,0.000,0.620,-0.007,0.040,0.040,-0.036,-0.002,0.002,0.003,0.040,0.010,0.040,0.005,-0.001,0.010,0.001,0.002,0.035,-0.001,0.014,0.001,0.006,-0.001,0.000,-0.000
17.916,23.728,136.425,-69.613,93.586,-63.711,1.000,-0.013,-0.028,0.040,-0.001,0.040,0.006,-0.040,-0.002,0.006,-0.007,0.033,0.010,-0.040,-0.010,0.011,0.019,-0.015,-0.001,0.014,0.002,-0.039,-0.001,0.000,-0.000
19.617,24.641,137.019,-76.421,90.000,-72.016,1.000,0.042,-0.024,0.040,0.003,0.040,0.028,0.022,-0.031,-0.040,-0.007,0.040,0.023,-0.017,-0.006,0.026,0.031,-0.027,-0.011,-0.000,0.011,-0.040,-0.026,0.000,-0.000
12.491,28.650,140.150,-89.594,85.313,23.239,1.000,-0.197,-0.023,0.040,-0.013,-0.018,-0.003,0.016,0.013,0.036,0.009,0.008,0.005,-0.036,-0.013,0.035,0.030,-0.016,-0.015,-0.025,-0.000,-0.040,0.007,0.000,-0.000
17.349,26.604,138.990,-81.850,90.554,-52.666,1.000,0.200,-0.022,0.040,0.013,0.013,0.004,-0.025,-0.005,-0.031,-0.014,0.011,0.001,-0.000,0.012,-0.020,0.019,-0.031,0.007,0.026,0.002,-0.040,-0.002,0.000,-0.000
17.369,28.980,139.917,-91.110,90.889,-53.620,1.000,0.320,-0.022,0.040,0.021,0.011,0.003,0.025,-0.011,-0.025,-0.021,0.006,0.001,-0.004,0.026,-0.035,0.028,-0.040,0.009,0.038,0.003,-0.040,-0.006,-0.000,-0.000
12.712,23.453,137.866,-70.546,87.627,18.631,1.000,0.010,-0.021,0.040,0.001,-0.007,0.001,-0.040,0.003,0.001,-0.000,-0.002,0.004,-0.013,0.011,-0.007,0.017,-0.015,0.002,0.003,0.001,-0.039,0.002,-0.000,-0.000
12.919,21.466,136.867,-63.253,85.780,19.185,1.000,0.147,-0.020,0.040,0.009,-0.018,0.001,-0.040,0.002,0.029,-0.006,-0.011,0.009,-0.032,0.021,-0.020,0.016,0.000,0.006,0.012,0.001,-0.034,0.001,0.000,-0.000
17.251,22.458,137.880,-70.518,41.498,57.223,2.000,1.074,-0.013,0.069,0.000,-0.040,0.002,0.001,0.002,-0.003,0.012,0.040,0.011,-0.040,0.010,0.008,0.004,0.023,-0.001,0.015,0.001,0.001,-0.000,0.000,-0.000
15.044,24.842,135.646,-72.784,58.115,38.126,2.000,-0.918,0.004,-0.059,-0.000,-0.040,0.001,0.003,0.001,0.040,0.002,-0.002,0.000,0.040,0.003,-0.006,0.004,0.015,-0.002,-0.004,0.000,0.000,-0.000,0.000,-0.000
17.492,25.762,133.506,-72.189,97.455,-66.905,2.000,0.839,-0.000,0.054,0.040,-0.024,0.004,-0.023,-0.008,0.040,-0.040,-0.035,0.005,0.040,-0.037,-0.009,0.019,0.012,-0.000,-0.014,0.002,-0.027,-0.003,0.000,-0.000
