q1,q2,q3,q4,q5,q6,theta_6,d_6,theta_5,theta_4,a_3,d_4,a_2,theta_3,theta_2,a_1
0.000,36.100,96.800,-90.800,41.355,-86.979,-0.110,0.000,-0.001,-0.000,0.000,-0.000,0.000,-0.000,-0.000,0.000
0.000,36.100,96.800,92.043,-47.866,96.135,-0.100,-0.000,0.001,-0.000,-0.000,-0.000,0.000,-0.000,-0.000,0.000
0.000,36.100,96.800,-84.910,47.603,-104.831,-0.086,0.000,0.000,-0.000,-0.000,-0.000,0.000,-0.000,-0.000,0.000
0.000,36.100,96.800,91.170,-54.050,127.040,-0.083,-0.000,0.000,-0.000,-0.000,-0.000,0.000,-0.000,-0.000,0.000
0.000,36.100,96.800,0.074,-52.886,122.684,0.078,0.001,-0.000,-0.000,0.000,0.000,0.000,-0.000,-0.000,0.000
0.000,36.100,96.800,90.636,-61.129,141.810,-0.064,0.000,-0.001,-0.000,0.000,0.000,0.000,-0.000,-0.000,0.000
0.000,36.100,96.800,-12.584,-48.299,81.894,0.063,0.001,-0.001,-0.000,-0.000,-0.000,0.000,-0.000,-0.000,0.000
0.000,36.100,96.800,90.167,-108.862,-157.380,0.039,0.000,0.000,-0.000,0.000,0.000,0.000,-0.000,-0.000,0.000
0.000,36.100,96.800,90.065,-108.862,-22.892,0.038,-0.000,0.000,-0.000,0.000,0.000,0.000,-0.000,-0.000,0.000
0.000,36.100,96.800,89.967,-84.457,173.947,-0.011,-0.000,0.000,-0.000,0.000,0.000,0.000,-0.000,-0.000,0.000
0.000,36.100,96.800,-153.871,57.162,-134.686,-0.007,-0.001,-0.000,-0.000,0.000,-0.000,0.000,-0.000,-0.000,0.000
0.000,36.100,96.800,90.023,-90.844,-178.990,0.002,0.000,0.000,-0.000,0.000,0.000,0.000,-0.000,-0.000,0.000
0.000,36.100,96.800,-174.015,88.271,-178.466,-0.001,0.000,-0.000,-0.000,0.000,-0.000,0.000,-0.000,-0.000,0.000
